Time	PV	OP	SP
         0	       -55	   49.6866	       -55
      0.01	       -55	   49.6866	       -55
      0.02	       -55	   49.6866	       -55
      0.03	       -55	   49.6866	       -55
      0.04	       -55	   49.6866	       -55
      0.05	       -55	   49.6866	       -55
      0.06	       -55	   49.6866	       -55
      0.07	       -55	   49.6866	       -55
      0.08	       -55	   49.6866	       -55
      0.09	       -55	   49.6866	       -55
       0.1	       -55	   49.6866	       -55
      0.11	       -55	   49.6866	       -55
      0.12	       -55	   49.6866	       -55
      0.13	       -55	   49.6866	       -55
      0.14	       -55	   49.6866	       -55
      0.15	       -55	   49.6866	       -55
      0.16	       -55	   49.6866	       -55
      0.17	       -55	   49.6866	       -55
      0.18	       -55	   49.6866	       -55
      0.19	       -55	   49.6866	       -55
       0.2	       -55	   49.6866	       -55
      0.21	       -55	   49.6866	       -55
      0.22	       -55	   49.6866	       -55
      0.23	       -55	   49.6866	       -55
      0.24	       -55	   49.6866	       -55
      0.25	       -55	   49.6866	       -55
      0.26	       -55	   49.6866	       -55
      0.27	       -55	   49.6866	       -55
      0.28	       -55	   49.6866	       -55
      0.29	       -55	   49.6866	       -55
       0.3	       -55	   49.6866	       -55
      0.31	       -55	   49.6866	       -55
      0.32	       -55	   49.6866	       -55
      0.33	       -55	   49.6866	       -55
      0.34	       -55	   49.6866	       -55
      0.35	       -55	   49.6866	       -55
      0.36	       -55	   49.6866	       -55
      0.37	       -55	   49.6866	       -55
      0.38	       -55	   49.6866	       -55
      0.39	       -55	   49.6866	       -55
       0.4	       -55	   49.6866	       -55
      0.41	       -55	   49.6866	       -55
      0.42	       -55	   49.6866	       -55
      0.43	       -55	   49.6866	       -55
      0.44	       -55	   49.6866	       -55
      0.45	       -55	   49.6866	       -55
      0.46	       -55	   49.6866	       -55
      0.47	       -55	   49.6866	       -55
      0.48	       -55	   49.6866	       -55
      0.49	       -55	   49.6866	       -55
       0.5	       -55	   49.6866	       -55
      0.51	       -55	   49.6866	       -55
      0.52	       -55	   49.6866	       -55
      0.53	       -55	   49.6866	       -55
      0.54	       -55	   49.6866	       -55
      0.55	       -55	   49.6866	       -55
      0.56	       -55	   49.6866	       -55
      0.57	       -55	   49.6866	       -55
      0.58	       -55	   49.6866	       -55
      0.59	       -55	   49.6866	       -55
       0.6	       -55	   49.6866	       -55
      0.61	       -55	   49.6866	       -55
      0.62	       -55	   49.6866	       -55
      0.63	       -55	   49.6866	       -55
      0.64	       -55	   49.6866	       -55
      0.65	       -55	   49.6866	       -55
      0.66	       -55	   49.6866	       -55
      0.67	       -55	   49.6866	       -55
      0.68	       -55	   49.6866	       -55
      0.69	       -55	   49.6866	       -55
       0.7	       -55	   49.6866	       -55
      0.71	       -55	   49.6866	       -55
      0.72	       -55	   49.6866	       -55
      0.73	       -55	   49.6866	       -55
      0.74	       -55	   49.6866	       -55
      0.75	       -55	   49.6866	       -55
      0.76	       -55	   49.6866	       -55
      0.77	       -55	   49.6866	       -55
      0.78	       -55	   49.6866	       -55
      0.79	       -55	   49.6866	       -55
       0.8	       -55	   49.6866	       -55
      0.81	       -55	   49.6866	       -55
      0.82	       -55	   49.6866	       -55
      0.83	       -55	   49.6866	       -55
      0.84	       -55	   49.6866	       -55
      0.85	       -55	   49.6866	       -55
      0.86	       -55	   49.6866	       -55
      0.87	       -55	   49.6866	       -55
      0.88	       -55	   49.6866	       -55
      0.89	       -55	   49.6866	       -55
       0.9	       -55	   49.6866	       -55
      0.91	       -55	   49.6866	       -55
      0.92	       -55	   49.6866	       -55
      0.93	       -55	   49.6866	       -55
      0.94	       -55	   49.6866	       -55
      0.95	       -55	   49.6866	       -55
      0.96	       -55	   49.6866	       -55
      0.97	       -55	   49.6866	       -55
      0.98	       -55	   49.6866	       -55
      0.99	       -55	   49.6866	       -55
         1	       -55	   49.6866	       -55
      1.01	  -55.0009	   49.7052	       -55
      1.02	  -55.0043	    49.778	       -55
      1.03	  -55.0107	    49.916	       -55
      1.04	  -55.0198	   50.1152	       -55
      1.05	  -55.0295	   50.3312	       -55
      1.06	  -55.0393	   50.5506	       -55
      1.07	  -55.0544	   50.8914	       -55
      1.08	  -55.0708	   51.2592	       -55
      1.09	   -55.083	   51.5447	       -55
       1.1	  -55.0973	   51.8794	       -55
      1.11	  -55.1161	   52.3084	       -55
      1.12	  -55.1332	   52.7087	       -55
      1.13	  -55.1523	   53.1577	       -55
      1.14	  -55.1753	   53.6925	       -55
      1.15	  -55.1966	   54.2016	       -55
      1.16	  -55.2207	    54.774	       -55
      1.17	  -55.2119	   54.6836	       -55
      1.18	  -55.2411	   55.3198	       -55
      1.19	  -55.2702	   56.0095	       -55
       1.2	  -55.2969	   56.6585	       -55
      1.21	  -55.3141	   57.1134	       -55
      1.22	  -55.3359	   57.6608	       -55
      1.23	  -55.3578	    58.217	       -55
      1.24	  -55.3796	   58.7754	       -55
      1.25	   -55.397	   59.2481	       -55
      1.26	  -55.4129	   59.6928	       -55
      1.27	  -55.4268	   60.0954	       -55
      1.28	  -55.4394	   60.4721	       -55
      1.29	  -55.4506	   60.8231	       -55
       1.3	   -55.461	   61.1556	       -55
      1.31	  -55.4661	   61.3801	       -55
      1.32	  -55.4713	   61.6045	       -55
      1.33	  -55.4732	   61.7586	       -55
      1.34	  -55.4708	   61.8198	       -55
      1.35	  -55.4683	   61.8753	       -55
      1.36	  -55.4648	   61.9059	       -55
      1.37	  -55.4613	   61.9386	       -55
      1.38	  -55.4584	   61.9815	       -55
      1.39	  -55.4556	   62.0245	       -55
       1.4	  -55.4504	   62.0167	       -55
      1.41	  -55.4428	   61.9567	       -55
      1.42	  -55.4352	   61.8946	       -55
      1.43	  -55.4268	   61.8086	       -55
      1.44	  -55.4183	   61.7226	       -55
      1.45	  -55.4112	   61.6602	       -55
      1.46	  -55.4041	   61.6002	       -55
      1.47	   -55.397	   61.5352	       -55
      1.48	  -55.3892	   61.4553	       -55
      1.49	  -55.3814	   61.3754	       -55
       1.5	  -55.3756	   61.3297	       -55
      1.51	  -55.3697	   61.2902	       -55
      1.52	  -55.3641	   61.2506	       -55
      1.53	   -55.356	   61.1605	       -55
      1.54	  -55.3491	   61.0906	       -55
      1.55	  -55.3445	   61.0696	       -55
      1.56	   -55.341	    61.071	       -55
      1.57	  -55.3381	   61.0848	       -55
      1.58	  -55.3352	   61.0986	       -55
      1.59	  -55.3297	   61.0577	       -55
       1.6	  -55.3278	   61.0873	       -55
      1.61	  -55.3259	   61.1246	       -55
      1.62	  -55.3248	   61.1741	       -55
      1.63	  -55.3237	    61.225	       -55
      1.64	  -55.3235	   61.2947	       -55
      1.65	  -55.3234	   61.3652	       -55
      1.66	  -55.3232	   61.4373	       -55
      1.67	  -55.3242	   61.5324	       -55
      1.68	  -55.3252	   61.6274	       -55
      1.69	  -55.3261	   61.7225	       -55
       1.7	  -55.3271	   61.8176	       -55
      1.71	  -55.3281	   61.9219	       -55
      1.72	  -55.3296	   62.0298	       -55
      1.73	  -55.3311	   62.1378	       -55
      1.74	  -55.3326	   62.2457	       -55
      1.75	  -55.3341	   62.3536	       -55
      1.76	  -55.3356	   62.4652	       -55
      1.77	   -55.337	   62.5781	       -55
      1.78	  -55.3385	    62.691	       -55
      1.79	    -55.34	   62.8039	       -55
       1.8	  -55.3416	   62.9168	       -55
      1.81	  -55.3431	    63.032	       -55
      1.82	  -55.3446	    63.148	       -55
      1.83	  -55.3462	    63.264	       -55
      1.84	  -55.3477	     63.38	       -55
      1.85	  -55.3492	    63.496	       -55
      1.86	  -55.3508	    63.611	       -55
      1.87	  -55.3523	    63.726	       -55
      1.88	  -55.3538	   63.8411	       -55
      1.89	  -55.3554	    63.956	       -55
       1.9	  -55.3569	   64.0709	       -55
      1.91	  -55.3584	   64.1826	       -55
      1.92	  -55.3596	    64.293	       -55
      1.93	  -55.3608	   64.4035	       -55
      1.94	  -55.3619	   64.5139	       -55
      1.95	  -55.3631	   64.6243	       -55
      1.96	  -55.3642	   64.7297	       -55
      1.97	   -55.365	   64.8331	       -55
      1.98	  -55.3658	   64.9365	       -55
      1.99	  -55.3666	   65.0399	       -55
         2	  -55.3674	   65.1434	       -55
      2.01	  -55.3682	   65.2407	       -55
      2.02	  -55.3685	   65.3356	       -55
      2.03	  -55.3689	   65.4305	       -55
      2.04	  -55.3693	   65.5254	       -55
      2.05	  -55.3696	   65.6203	       -55
      2.06	    -55.37	   65.7087	       -55
      2.07	  -55.3699	   65.7946	       -55
      2.08	  -55.3699	   65.8805	       -55
      2.09	  -55.3698	   65.9664	       -55
       2.1	  -55.3698	   66.0523	       -55
      2.11	  -55.3698	   66.1318	       -55
      2.12	  -55.3693	   66.2088	       -55
      2.13	  -55.3689	   66.2858	       -55
      2.14	  -55.3685	   66.3628	       -55
      2.15	   -55.368	   66.4398	       -55
      2.16	  -55.3676	   66.5109	       -55
      2.17	  -55.3668	   66.5797	       -55
      2.18	   -55.366	   66.6485	       -55
      2.19	  -55.3652	   66.7173	       -55
       2.2	  -55.3644	   66.7861	       -55
      2.21	  -55.3636	   66.8494	       -55
      2.22	  -55.3628	   66.9105	       -55
      2.23	  -55.3617	   66.9716	       -55
      2.24	  -55.3605	   67.0327	       -55
      2.25	  -55.3594	   67.0938	       -55
      2.26	  -55.3583	   67.1498	       -55
      2.27	  -55.3572	   67.2037	       -55
      2.28	  -55.3559	   67.2577	       -55
      2.29	  -55.3545	   67.3117	       -55
       2.3	  -55.3531	   67.3657	       -55
      2.31	  -55.3518	    67.415	       -55
      2.32	  -55.3504	   67.4625	       -55
      2.33	  -55.3488	   67.5101	       -55
      2.34	  -55.3473	   67.5576	       -55
      2.35	  -55.3457	   67.6051	       -55
      2.36	  -55.3441	   67.6485	       -55
      2.37	  -55.3425	   67.6903	       -55
      2.38	  -55.3409	    67.732	       -55
      2.39	  -55.3392	   67.7738	       -55
       2.4	  -55.3374	   67.8156	       -55
      2.41	  -55.3357	   67.8537	       -55
      2.42	  -55.3339	   67.8904	       -55
      2.43	  -55.3321	   67.9271	       -55
      2.44	  -55.3304	   67.9638	       -55
      2.45	  -55.3285	   68.0005	       -55
      2.46	  -55.3266	   68.0339	       -55
      2.47	  -55.3247	    68.066	       -55
      2.48	  -55.3228	   68.0982	       -55
      2.49	  -55.3209	   68.1303	       -55
       2.5	   -55.319	   68.1624	       -55
      2.51	   -55.317	   68.1915	       -55
      2.52	  -55.3149	   68.2194	       -55
      2.53	  -55.3129	   68.2473	       -55
      2.54	  -55.3108	   68.2752	       -55
      2.55	  -55.3088	   68.3031	       -55
      2.56	  -55.3068	   68.3282	       -55
      2.57	  -55.3047	   68.3524	       -55
      2.58	  -55.3027	   68.3765	       -55
      2.59	  -55.3007	   68.4006	       -55
       2.6	  -55.2986	   68.4248	       -55
      2.61	  -55.2965	   68.4465	       -55
      2.62	  -55.2944	   68.4673	       -55
      2.63	  -55.2922	    68.488	       -55
      2.64	  -55.2901	   68.5088	       -55
      2.65	   -55.288	   68.5296	       -55
      2.66	  -55.2858	   68.5482	       -55
      2.67	  -55.2837	    68.566	       -55
      2.68	  -55.2816	   68.5838	       -55
      2.69	  -55.2794	   68.6016	       -55
       2.7	  -55.2773	   68.6194	       -55
      2.71	  -55.2752	   68.6353	       -55
      2.72	   -55.273	   68.6504	       -55
      2.73	  -55.2709	   68.6656	       -55
      2.74	  -55.2688	   68.6807	       -55
      2.75	  -55.2666	   68.6959	       -55
      2.76	  -55.2645	   68.7091	       -55
      2.77	  -55.2624	   68.7222	       -55
      2.78	  -55.2603	   68.7351	       -55
      2.79	  -55.2581	   68.7479	       -55
       2.8	   -55.256	   68.7608	       -55
      2.81	  -55.2539	    68.772	       -55
      2.82	  -55.2518	   68.7832	       -55
      2.83	  -55.2497	   68.7941	       -55
      2.84	  -55.2476	    68.805	       -55
      2.85	  -55.2455	   68.8159	       -55
      2.86	  -55.2434	   68.8253	       -55
      2.87	  -55.2413	   68.8347	       -55
      2.88	  -55.2392	   68.8439	       -55
      2.89	  -55.2371	   68.8531	       -55
       2.9	   -55.235	   68.8623	       -55
      2.91	  -55.2329	   68.8702	       -55
      2.92	  -55.2309	   68.8781	       -55
      2.93	  -55.2289	   68.8858	       -55
      2.94	  -55.2269	   68.8935	       -55
      2.95	  -55.2249	   68.9011	       -55
      2.96	  -55.2229	   68.9077	       -55
      2.97	  -55.2209	   68.9142	       -55
      2.98	  -55.2189	   68.9206	       -55
      2.99	  -55.2169	    68.927	       -55
         3	  -55.2149	   68.9334	       -55
      3.01	  -55.2129	   68.9387	       -55
      3.02	  -55.2109	    68.944	       -55
      3.03	  -55.2089	   68.9494	       -55
      3.04	   -55.207	   68.9546	       -55
      3.05	  -55.2051	   68.9598	       -55
      3.06	  -55.2032	   68.9642	       -55
      3.07	  -55.2014	   68.9685	       -55
      3.08	  -55.1995	   68.9729	       -55
      3.09	  -55.1976	   68.9771	       -55
       3.1	  -55.1957	   68.9814	       -55
      3.11	  -55.1938	   68.9846	       -55
      3.12	  -55.1919	   68.9878	       -55
      3.13	  -55.1901	   68.9911	       -55
      3.14	  -55.1883	   68.9942	       -55
      3.15	  -55.1865	   68.9974	       -55
      3.16	  -55.1847	   68.9994	       -55
      3.17	  -55.1829	   69.0015	       -55
      3.18	  -55.1811	   69.0034	       -55
      3.19	  -55.1793	   69.0053	       -55
       3.2	  -55.1775	   69.0072	       -55
      3.21	  -55.1757	   69.0081	       -55
      3.22	  -55.1739	   69.0089	       -55
      3.23	  -55.1721	   69.0097	       -55
      3.24	  -55.1703	   69.0104	       -55
      3.25	  -55.1686	   69.0111	       -55
      3.26	  -55.1668	   69.0109	       -55
      3.27	  -55.1651	   69.0106	       -55
      3.28	  -55.1634	   69.0103	       -55
      3.29	  -55.1617	   69.0097	       -55
       3.3	    -55.16	   69.0091	       -55
      3.31	  -55.1583	   69.0085	       -55
      3.32	  -55.1566	   69.0071	       -55
      3.33	  -55.1549	   69.0057	       -55
      3.34	  -55.1532	   69.0042	       -55
      3.35	  -55.1515	   69.0028	       -55
      3.36	  -55.1499	   69.0013	       -55
      3.37	  -55.1483	   68.9992	       -55
      3.38	  -55.1467	    68.997	       -55
      3.39	  -55.1451	   68.9948	       -55
       3.4	  -55.1434	   68.9927	       -55
      3.41	  -55.1418	   68.9905	       -55
      3.42	  -55.1402	   68.9877	       -55
      3.43	  -55.1387	    68.985	       -55
      3.44	  -55.1372	   68.9822	       -55
      3.45	  -55.1357	   68.9794	       -55
      3.46	  -55.1342	   68.9767	       -55
      3.47	  -55.1326	   68.9739	       -55
      3.48	  -55.1311	   68.9708	       -55
      3.49	  -55.1296	   68.9676	       -55
       3.5	  -55.1281	   68.9645	       -55
      3.51	  -55.1266	   68.9614	       -55
      3.52	  -55.1251	   68.9583	       -55
      3.53	  -55.1237	   68.9552	       -55
      3.54	  -55.1223	    68.952	       -55
      3.55	  -55.1209	   68.9489	       -55
      3.56	  -55.1196	   68.9457	       -55
      3.57	  -55.1182	   68.9426	       -55
      3.58	  -55.1168	   68.9395	       -55
      3.59	  -55.1154	   68.9363	       -55
       3.6	   -55.114	   68.9332	       -55
      3.61	  -55.1126	     68.93	       -55
      3.62	  -55.1114	   68.9269	       -55
      3.63	  -55.1102	   68.9237	       -55
      3.64	  -55.1089	   68.9206	       -55
      3.65	  -55.1077	   68.9177	       -55
      3.66	  -55.1065	   68.9148	       -55
      3.67	  -55.1052	   68.9119	       -55
      3.68	   -55.104	   68.9093	       -55
      3.69	  -55.1028	   68.9066	       -55
       3.7	  -55.1015	    68.904	       -55
      3.71	  -55.1003	   68.9013	       -55
      3.72	  -55.0992	   68.8987	       -55
      3.73	  -55.0981	   68.8964	       -55
      3.74	   -55.097	   68.8941	       -55
      3.75	   -55.096	   68.8918	       -55
      3.76	  -55.0949	   68.8895	       -55
      3.77	  -55.0938	   68.8877	       -55
      3.78	  -55.0927	   68.8858	       -55
      3.79	  -55.0916	    68.884	       -55
       3.8	  -55.0906	   68.8821	       -55
      3.81	  -55.0895	   68.8803	       -55
      3.82	  -55.0885	    68.879	       -55
      3.83	  -55.0876	   68.8777	       -55
      3.84	  -55.0867	   68.8764	       -55
      3.85	  -55.0858	   68.8751	       -55
      3.86	  -55.0848	   68.8738	       -55
      3.87	  -55.0839	   68.8731	       -55
      3.88	   -55.083	   68.8723	       -55
      3.89	  -55.0821	   68.8716	       -55
       3.9	  -55.0811	   68.8709	       -55
      3.91	  -55.0802	   68.8702	       -55
      3.92	  -55.0794	     68.87	       -55
      3.93	  -55.0786	   68.8699	       -55
      3.94	  -55.0778	   68.8698	       -55
      3.95	  -55.0771	   68.8697	       -55
      3.96	  -55.0763	   68.8695	       -55
      3.97	  -55.0755	     68.87	       -55
      3.98	  -55.0747	   68.8704	       -55
      3.99	  -55.0739	   68.8709	       -55
         4	  -55.0731	   68.8714	       -55
      4.01	  -55.0723	   68.8718	       -55
      4.02	  -55.0717	   68.8729	       -55
      4.03	   -55.071	   68.8739	       -55
      4.04	  -55.0704	   68.8749	       -55
      4.05	  -55.0697	    68.876	       -55
      4.06	  -55.0691	    68.877	       -55
      4.07	  -55.0684	   68.8786	       -55
      4.08	  -55.0678	   68.8802	       -55
      4.09	  -55.0671	   68.8818	       -55
       4.1	  -55.0665	   68.8834	       -55
      4.11	  -55.0658	   68.8849	       -55
      4.12	  -55.0652	    68.887	       -55
      4.13	  -55.0646	   68.8892	       -55
      4.14	  -55.0641	   68.8913	       -55
      4.15	  -55.0636	   68.8934	       -55
      4.16	   -55.063	   68.8955	       -55
      4.17	  -55.0625	    68.898	       -55
      4.18	   -55.062	   68.9006	       -55
      4.19	  -55.0614	   68.9032	       -55
       4.2	  -55.0609	   68.9057	       -55
      4.21	  -55.0604	   68.9083	       -55
      4.22	  -55.0598	   68.9114	       -55
      4.23	  -55.0593	   68.9144	       -55
      4.24	  -55.0588	   68.9175	       -55
      4.25	  -55.0584	   68.9205	       -55
      4.26	   -55.058	   68.9236	       -55
      4.27	  -55.0575	   68.9266	       -55
      4.28	  -55.0571	     68.93	       -55
      4.29	  -55.0566	   68.9334	       -55
       4.3	  -55.0562	   68.9369	       -55
      4.31	  -55.0558	   68.9403	       -55
      4.32	  -55.0553	   68.9437	       -55
      4.33	  -55.0549	   68.9474	       -55
      4.34	  -55.0544	   68.9511	       -55
      4.35	  -55.0541	   68.9549	       -55
      4.36	  -55.0537	   68.9586	       -55
      4.37	  -55.0533	   68.9623	       -55
      4.38	  -55.0529	    68.966	       -55
      4.39	  -55.0526	   68.9697	       -55
       4.4	  -55.0522	   68.9735	       -55
      4.41	  -55.0518	   68.9772	       -55
      4.42	  -55.0515	    68.981	       -55
      4.43	  -55.0511	   68.9848	       -55
      4.44	  -55.0507	   68.9885	       -55
      4.45	  -55.0504	   68.9923	       -55
      4.46	    -55.05	   68.9961	       -55
      4.47	  -55.0496	   68.9998	       -55
      4.48	  -55.0493	   69.0036	       -55
      4.49	   -55.049	   69.0074	       -55
       4.5	  -55.0486	   69.0111	       -55
      4.51	  -55.0483	   69.0149	       -55
      4.52	   -55.048	   69.0186	       -55
      4.53	  -55.0477	   69.0224	       -55
      4.54	  -55.0474	   69.0262	       -55
      4.55	   -55.047	   69.0299	       -55
      4.56	  -55.0467	   69.0334	       -55
      4.57	  -55.0464	   69.0369	       -55
      4.58	  -55.0461	   69.0404	       -55
      4.59	  -55.0458	   69.0439	       -55
       4.6	  -55.0454	   69.0475	       -55
      4.61	  -55.0451	    69.051	       -55
      4.62	  -55.0448	   69.0545	       -55
      4.63	  -55.0445	   69.0578	       -55
      4.64	  -55.0442	    69.061	       -55
      4.65	  -55.0438	   69.0643	       -55
      4.66	  -55.0435	   69.0676	       -55
      4.67	  -55.0432	   69.0709	       -55
      4.68	  -55.0429	   69.0742	       -55
      4.69	  -55.0426	   69.0775	       -55
       4.7	  -55.0422	   69.0806	       -55
      4.71	   -55.042	   69.0837	       -55
      4.72	  -55.0417	   69.0868	       -55
      4.73	  -55.0414	   69.0899	       -55
      4.74	  -55.0411	    69.093	       -55
      4.75	  -55.0409	   69.0959	       -55
      4.76	  -55.0406	   69.0989	       -55
      4.77	  -55.0403	   69.1018	       -55
      4.78	    -55.04	   69.1048	       -55
      4.79	  -55.0398	   69.1077	       -55
       4.8	  -55.0395	   69.1105	       -55
      4.81	  -55.0392	   69.1133	       -55
      4.82	  -55.0389	   69.1161	       -55
      4.83	  -55.0386	   69.1189	       -55
      4.84	  -55.0384	   69.1217	       -55
      4.85	  -55.0381	   69.1243	       -55
      4.86	  -55.0378	    69.127	       -55
      4.87	  -55.0375	   69.1296	       -55
      4.88	  -55.0373	   69.1322	       -55
      4.89	   -55.037	   69.1349	       -55
       4.9	  -55.0367	   69.1375	       -55
      4.91	  -55.0364	     69.14	       -55
      4.92	  -55.0362	   69.1424	       -55
      4.93	  -55.0359	   69.1449	       -55
      4.94	  -55.0356	   69.1473	       -55
      4.95	  -55.0353	   69.1498	       -55
      4.96	  -55.0351	   69.1522	       -55
      4.97	  -55.0348	   69.1547	       -55
      4.98	  -55.0345	   69.1571	       -55
      4.99	  -55.0343	   69.1594	       -55
         5	  -55.0341	   69.1617	       -55
      5.01	  -55.0338	    69.164	       -55
      5.02	  -55.0336	   69.1662	       -55
      5.03	  -55.0334	   69.1685	       -55
      5.04	  -55.0331	   69.1708	       -55
      5.05	  -55.0329	   69.1731	       -55
      5.06	  -55.0327	   69.1752	       -55
      5.07	  -55.0324	   69.1773	       -55
      5.08	  -55.0322	   69.1794	       -55
      5.09	   -55.032	   69.1815	       -55
       5.1	  -55.0317	   69.1836	       -55
      5.11	  -55.0315	   69.1857	       -55
      5.12	  -55.0313	   69.1878	       -55
      5.13	   -55.031	   69.1898	       -55
      5.14	  -55.0308	   69.1919	       -55
      5.15	  -55.0305	   69.1939	       -55
      5.16	  -55.0303	   69.1958	       -55
      5.17	  -55.0301	   69.1978	       -55
      5.18	  -55.0298	   69.1997	       -55
      5.19	  -55.0296	   69.2016	       -55
       5.2	  -55.0294	   69.2036	       -55
      5.21	  -55.0291	   69.2055	       -55
      5.22	  -55.0289	   69.2073	       -55
      5.23	  -55.0287	   69.2091	       -55
      5.24	  -55.0284	   69.2108	       -55
      5.25	  -55.0282	   69.2126	       -55
      5.26	   -55.028	   69.2144	       -55
      5.27	  -55.0278	   69.2162	       -55
      5.28	  -55.0277	    69.218	       -55
      5.29	  -55.0275	   69.2197	       -55
       5.3	  -55.0273	   69.2215	       -55
      5.31	  -55.0271	   69.2233	       -55
      5.32	  -55.0269	   69.2249	       -55
      5.33	  -55.0267	   69.2265	       -55
      5.34	  -55.0265	   69.2281	       -55
      5.35	  -55.0263	   69.2297	       -55
      5.36	  -55.0261	   69.2313	       -55
      5.37	  -55.0259	   69.2329	       -55
      5.38	  -55.0257	   69.2345	       -55
      5.39	  -55.0255	   69.2361	       -55
       5.4	  -55.0253	   69.2377	       -55
      5.41	  -55.0251	   69.2393	       -55
      5.42	  -55.0249	   69.2408	       -55
      5.43	  -55.0247	   69.2423	       -55
      5.44	  -55.0245	   69.2437	       -55
      5.45	  -55.0243	   69.2452	       -55
      5.46	  -55.0241	   69.2466	       -55
      5.47	  -55.0239	    69.248	       -55
      5.48	  -55.0237	   69.2495	       -55
      5.49	  -55.0235	   69.2509	       -55
       5.5	  -55.0233	   69.2523	       -55
      5.51	  -55.0231	   69.2538	       -55
      5.52	   -55.023	   69.2552	       -55
      5.53	  -55.0228	   69.2565	       -55
      5.54	  -55.0226	   69.2578	       -55
      5.55	  -55.0225	   69.2591	       -55
      5.56	  -55.0223	   69.2604	       -55
      5.57	  -55.0222	   69.2617	       -55
      5.58	   -55.022	    69.263	       -55
      5.59	  -55.0218	   69.2643	       -55
       5.6	  -55.0217	   69.2656	       -55
      5.61	  -55.0215	   69.2669	       -55
      5.62	  -55.0214	   69.2682	       -55
      5.63	  -55.0212	   69.2693	       -55
      5.64	   -55.021	   69.2705	       -55
      5.65	  -55.0209	   69.2716	       -55
      5.66	  -55.0207	   69.2728	       -55
      5.67	  -55.0206	    69.274	       -55
      5.68	  -55.0204	   69.2751	       -55
      5.69	  -55.0202	   69.2763	       -55
       5.7	  -55.0201	   69.2774	       -55
      5.71	  -55.0199	   69.2786	       -55
      5.72	  -55.0198	   69.2798	       -55
      5.73	  -55.0196	   69.2809	       -55
      5.74	  -55.0194	    69.282	       -55
      5.75	  -55.0193	    69.283	       -55
      5.76	  -55.0191	    69.284	       -55
      5.77	   -55.019	   69.2851	       -55
      5.78	  -55.0188	   69.2861	       -55
      5.79	  -55.0186	   69.2872	       -55
       5.8	  -55.0185	   69.2882	       -55
      5.81	  -55.0183	   69.2892	       -55
      5.82	  -55.0181	   69.2903	       -55
      5.83	   -55.018	   69.2913	       -55
      5.84	  -55.0179	   69.2924	       -55
      5.85	  -55.0177	   69.2933	       -55
      5.86	  -55.0176	   69.2942	       -55
      5.87	  -55.0175	   69.2951	       -55
      5.88	  -55.0174	   69.2961	       -55
      5.89	  -55.0172	    69.297	       -55
       5.9	  -55.0171	   69.2979	       -55
      5.91	   -55.017	   69.2989	       -55
      5.92	  -55.0168	   69.2998	       -55
      5.93	  -55.0167	   69.3007	       -55
      5.94	  -55.0166	   69.3017	       -55
      5.95	  -55.0165	   69.3025	       -55
      5.96	  -55.0163	   69.3034	       -55
      5.97	  -55.0162	   69.3042	       -55
      5.98	  -55.0161	    69.305	       -55
      5.99	   -55.016	   69.3059	       -55
         6	  -55.0158	   69.3067	       -55
      6.01	  -55.0157	   69.3076	       -55
      6.02	  -55.0156	   69.3084	       -55
      6.03	  -55.0154	   69.3092	       -55
      6.04	  -55.0153	   69.3101	       -55
      6.05	  -55.0152	   69.3109	       -55
      6.06	  -55.0151	   69.3117	       -55
      6.07	  -55.0149	   69.3124	       -55
      6.08	  -55.0148	   69.3131	       -55
      6.09	  -55.0147	   69.3139	       -55
       6.1	  -55.0146	   69.3146	       -55
      6.11	  -55.0144	   69.3153	       -55
      6.12	  -55.0143	   69.3161	       -55
      6.13	  -55.0142	   69.3168	       -55
      6.14	  -55.0141	   69.3176	       -55
      6.15	  -55.0139	   69.3183	       -55
      6.16	  -55.0138	    69.319	       -55
      6.17	  -55.0137	   69.3198	       -55
      6.18	  -55.0136	   69.3205	       -55
      6.19	  -55.0135	   69.3212	       -55
       6.2	  -55.0134	    69.322	       -55
      6.21	  -55.0133	   69.3226	       -55
      6.22	  -55.0132	   69.3233	       -55
      6.23	  -55.0131	   69.3239	       -55
      6.24	   -55.013	   69.3245	       -55
      6.25	  -55.0129	   69.3252	       -55
      6.26	  -55.0128	   69.3258	       -55
      6.27	  -55.0127	   69.3264	       -55
      6.28	  -55.0126	   69.3271	       -55
      6.29	  -55.0125	   69.3277	       -55
       6.3	  -55.0124	   69.3283	       -55
      6.31	  -55.0123	    69.329	       -55
      6.32	  -55.0123	   69.3296	       -55
      6.33	  -55.0122	   69.3302	       -55
