Time	"STREAMS(""S-21"").Zn(""CO2"")"	RR_CO2
         0	  0.967051	  0.975236
      0.01	  0.967051	  0.975236
      0.02	  0.967051	  0.975236
      0.03	  0.967051	  0.975236
      0.04	  0.967051	  0.975236
      0.05	  0.967051	  0.975236
      0.06	  0.967051	  0.975236
      0.07	  0.967051	  0.975236
      0.08	  0.967051	  0.975236
      0.09	  0.967051	  0.975236
       0.1	  0.967051	  0.975236
      0.11	  0.967051	  0.975236
      0.12	  0.967051	  0.975236
      0.13	  0.967051	  0.975236
      0.14	  0.967051	  0.975236
      0.15	  0.967051	  0.975236
      0.16	  0.967051	  0.975236
      0.17	  0.967052	  0.975236
      0.18	  0.967052	  0.975236
      0.19	  0.967052	  0.975236
       0.2	  0.967052	  0.975236
      0.21	  0.967052	  0.975236
      0.22	  0.967052	  0.975236
      0.23	  0.967052	  0.975236
      0.24	  0.967052	  0.975236
      0.25	  0.967052	  0.975236
      0.26	  0.967052	  0.975236
      0.27	  0.967052	  0.975236
      0.28	  0.967052	  0.975236
      0.29	  0.967052	  0.975236
       0.3	  0.967052	  0.975236
      0.31	  0.967052	  0.975236
      0.32	  0.967052	  0.975236
      0.33	  0.967052	  0.975236
      0.34	  0.967052	  0.975236
      0.35	  0.967052	  0.975236
      0.36	  0.967053	  0.975236
      0.37	  0.967053	  0.975236
      0.38	  0.967053	  0.975236
      0.39	  0.967053	  0.975236
       0.4	  0.967053	  0.975236
      0.41	  0.967053	  0.975236
      0.42	  0.967053	  0.975236
      0.43	  0.967053	  0.975236
      0.44	  0.967053	  0.975236
      0.45	  0.967053	  0.975236
      0.46	  0.967053	  0.975236
      0.47	  0.967053	  0.975236
      0.48	  0.967053	  0.975236
      0.49	  0.967053	  0.975236
       0.5	  0.967053	  0.975236
      0.51	  0.967053	  0.975236
      0.52	  0.967053	  0.975236
      0.53	  0.967053	  0.975236
      0.54	  0.967053	  0.975236
      0.55	  0.967054	  0.975236
      0.56	  0.967054	  0.975236
      0.57	  0.967054	  0.975236
      0.58	  0.967054	  0.975236
      0.59	  0.967054	  0.975236
       0.6	  0.967054	  0.975236
      0.61	  0.967054	  0.975236
      0.62	  0.967054	  0.975236
      0.63	  0.967054	  0.975236
      0.64	  0.967054	  0.975236
      0.65	  0.967054	  0.975236
      0.66	  0.967054	  0.975236
      0.67	  0.967054	  0.975236
      0.68	  0.967054	  0.975236
      0.69	  0.967054	  0.975236
       0.7	  0.967054	  0.975236
      0.71	  0.967054	  0.975236
      0.72	  0.967054	  0.975236
      0.73	  0.967054	  0.975236
      0.74	  0.967055	  0.975236
      0.75	  0.967055	  0.975236
      0.76	  0.967055	  0.975236
      0.77	  0.967055	  0.975236
      0.78	  0.967055	  0.975236
      0.79	  0.967055	  0.975236
       0.8	  0.967055	  0.975236
      0.81	  0.967055	  0.975236
      0.82	  0.967055	  0.975236
      0.83	  0.967055	  0.975236
      0.84	  0.967055	  0.975236
      0.85	  0.967055	  0.975236
      0.86	  0.967055	  0.975236
      0.87	  0.967055	  0.975236
      0.88	  0.967055	  0.975236
      0.89	  0.967055	  0.975236
       0.9	  0.967055	  0.975236
      0.91	  0.967055	  0.975236
      0.92	  0.967055	  0.975236
      0.93	  0.967056	  0.975236
      0.94	  0.967056	  0.975236
      0.95	  0.967056	  0.975236
      0.96	  0.967056	  0.975236
      0.97	  0.967056	  0.975236
      0.98	  0.967056	  0.975236
      0.99	  0.967056	  0.975236
         1	  0.967056	  0.975236
      1.01	  0.967056	  0.972978
      1.02	  0.967066	  0.970351
      1.03	  0.967075	  0.968011
      1.04	  0.967099	  0.966121
      1.05	  0.967122	  0.964463
      1.06	  0.967156	    0.9632
      1.07	  0.967206	  0.962171
      1.08	  0.967257	  0.961194
      1.09	  0.967325	  0.960623
       1.1	  0.967393	  0.960104
      1.11	  0.967474	  0.959546
      1.12	  0.967568	  0.959345
      1.13	  0.967663	  0.959144
      1.14	  0.967771	   0.95878
      1.15	  0.967894	  0.958634
      1.16	  0.968017	  0.958543
      1.17	  0.968155	  0.960922
      1.18	  0.968294	  0.960753
      1.19	  0.968434	  0.960727
       1.2	  0.968573	  0.960725
      1.21	  0.968713	  0.961097
      1.22	  0.968851	  0.960933
      1.23	  0.968988	  0.960768
      1.24	  0.969126	  0.960691
      1.25	  0.969256	  0.960797
      1.26	  0.969386	  0.960936
      1.27	  0.969516	  0.961105
      1.28	  0.969636	  0.961283
      1.29	  0.969757	  0.961472
       1.3	  0.969878	  0.961687
      1.31	  0.969988	  0.962053
      1.32	  0.970097	   0.96242
      1.33	  0.970207	   0.96288
      1.34	  0.970309	  0.963464
      1.35	  0.970412	  0.964027
      1.36	  0.970505	  0.964503
      1.37	  0.970599	  0.964959
      1.38	   0.97068	  0.965325
      1.39	  0.970761	   0.96569
       1.4	  0.970842	  0.966123
      1.41	  0.970912	  0.966621
      1.42	  0.970982	  0.967119
      1.43	  0.971053	  0.967562
      1.44	  0.971117	  0.968004
      1.45	   0.97117	   0.96833
      1.46	  0.971224	  0.968644
      1.47	  0.971277	  0.968958
      1.48	   0.97132	  0.969264
      1.49	  0.971362	   0.96957
       1.5	  0.971405	  0.969776
      1.51	  0.971439	  0.969964
      1.52	  0.971472	  0.970152
      1.53	  0.971506	  0.970406
      1.54	   0.97154	   0.97066
      1.55	  0.971564	  0.970882
      1.56	  0.971589	   0.97109
      1.57	  0.971613	  0.971134
      1.58	  0.971633	  0.971177
      1.59	  0.971653	  0.971152
       1.6	  0.971672	  0.971001
      1.61	  0.971686	  0.970902
      1.62	  0.971699	  0.970826
      1.63	  0.971713	  0.970751
      1.64	  0.971722	  0.970689
      1.65	   0.97173	  0.970627
      1.66	  0.971739	  0.970565
      1.67	  0.971748	  0.970503
      1.68	  0.971757	  0.970441
      1.69	  0.971765	  0.970378
       1.7	  0.971774	  0.970316
      1.71	  0.971782	  0.970253
      1.72	   0.97179	  0.970195
      1.73	  0.971798	  0.970137
      1.74	  0.971805	  0.970079
      1.75	  0.971813	  0.970021
      1.76	  0.971821	  0.969992
      1.77	  0.971829	  0.969963
      1.78	  0.971837	  0.969939
      1.79	  0.971845	  0.969914
       1.8	  0.971853	   0.96989
      1.81	  0.971861	  0.969887
      1.82	  0.971868	  0.969883
      1.83	  0.971876	  0.969884
      1.84	  0.971884	  0.969884
      1.85	  0.971892	  0.969884
