Time	PV	OP	SP
         0	       -55	   49.6866	       -55
      0.01	       -55	   49.6866	       -55
      0.02	       -55	   49.6866	       -55
      0.03	       -55	   49.6866	       -55
      0.04	       -55	   49.6866	       -55
      0.05	       -55	   49.6866	       -55
      0.06	       -55	   49.6866	       -55
      0.07	       -55	   49.6866	       -55
      0.08	       -55	   49.6866	       -55
      0.09	       -55	   49.6866	       -55
       0.1	       -55	   49.6866	       -55
      0.11	       -55	   49.6866	       -55
      0.12	       -55	   49.6866	       -55
      0.13	       -55	   49.6866	       -55
      0.14	       -55	   49.6866	       -55
      0.15	       -55	   49.6866	       -55
      0.16	       -55	   49.6866	       -55
      0.17	       -55	   49.6866	       -55
      0.18	       -55	   49.6866	       -55
      0.19	       -55	   49.6866	       -55
       0.2	       -55	   49.6866	       -55
      0.21	       -55	   49.6866	       -55
      0.22	       -55	   49.6866	       -55
      0.23	       -55	   49.6866	       -55
      0.24	       -55	   49.6866	       -55
      0.25	       -55	   49.6866	       -55
      0.26	       -55	   49.6866	       -55
      0.27	       -55	   49.6866	       -55
      0.28	       -55	   49.6866	       -55
      0.29	       -55	   49.6866	       -55
       0.3	       -55	   49.6866	       -55
      0.31	       -55	   49.6866	       -55
      0.32	       -55	   49.6866	       -55
      0.33	       -55	   49.6866	       -55
      0.34	       -55	   49.6866	       -55
      0.35	       -55	   49.6866	       -55
      0.36	       -55	   49.6866	       -55
      0.37	       -55	   49.6866	       -55
      0.38	       -55	   49.6866	       -55
      0.39	       -55	   49.6866	       -55
       0.4	       -55	   49.6866	       -55
      0.41	       -55	   49.6866	       -55
      0.42	       -55	   49.6866	       -55
      0.43	       -55	   49.6866	       -55
      0.44	       -55	   49.6866	       -55
      0.45	       -55	   49.6866	       -55
      0.46	       -55	   49.6866	       -55
      0.47	       -55	   49.6866	       -55
      0.48	       -55	   49.6866	       -55
      0.49	       -55	   49.6866	       -55
       0.5	       -55	   49.6866	       -55
      0.51	       -55	   49.6866	       -55
      0.52	       -55	   49.6866	       -55
      0.53	       -55	   49.6866	       -55
      0.54	       -55	   49.6866	       -55
      0.55	       -55	   49.6866	       -55
      0.56	       -55	   49.6866	       -55
      0.57	       -55	   49.6866	       -55
      0.58	       -55	   49.6866	       -55
      0.59	       -55	   49.6866	       -55
       0.6	       -55	   49.6866	       -55
      0.61	       -55	   49.6866	       -55
      0.62	       -55	   49.6866	       -55
      0.63	       -55	   49.6866	       -55
      0.64	       -55	   49.6866	       -55
      0.65	       -55	   49.6866	       -55
      0.66	       -55	   49.6866	       -55
      0.67	       -55	   49.6866	       -55
      0.68	       -55	   49.6866	       -55
      0.69	       -55	   49.6866	       -55
       0.7	       -55	   49.6866	       -55
      0.71	       -55	   49.6866	       -55
      0.72	       -55	   49.6866	       -55
      0.73	       -55	   49.6866	       -55
      0.74	       -55	   49.6866	       -55
      0.75	       -55	   49.6866	       -55
      0.76	       -55	   49.6866	       -55
      0.77	       -55	   49.6866	       -55
      0.78	       -55	   49.6866	       -55
      0.79	       -55	   49.6866	       -55
       0.8	       -55	   49.6866	       -55
      0.81	       -55	   49.6866	       -55
      0.82	       -55	   49.6866	       -55
      0.83	       -55	   49.6866	       -55
      0.84	       -55	   49.6866	       -55
      0.85	       -55	   49.6866	       -55
      0.86	       -55	   49.6866	       -55
      0.87	       -55	   49.6866	       -55
      0.88	       -55	   49.6866	       -55
      0.89	       -55	   49.6866	       -55
       0.9	       -55	   49.6866	       -55
      0.91	       -55	   49.6866	       -55
      0.92	       -55	   49.6866	       -55
      0.93	       -55	   49.6866	       -55
      0.94	       -55	   49.6866	       -55
      0.95	       -55	   49.6866	       -55
      0.96	       -55	   49.6866	       -55
      0.97	       -55	   49.6866	       -55
      0.98	       -55	   49.6866	       -55
      0.99	       -55	   49.6866	       -55
         1	       -55	   49.6866	       -55
      1.01	  -55.0111	    49.914	       -55
      1.02	  -55.0237	   50.1915	       -55
      1.03	  -55.0362	   50.4762	       -55
      1.04	  -55.0488	   50.7543	       -55
      1.05	  -55.0593	   50.9977	       -55
      1.06	  -55.0688	   51.2251	       -55
      1.07	  -55.0783	   51.4447	       -55
      1.08	  -55.0874	   51.6631	       -55
      1.09	  -55.0956	   51.8639	       -55
       1.1	  -55.1024	   52.0373	       -55
      1.11	  -55.1107	   52.2424	       -55
      1.12	  -55.1191	   52.4553	       -55
      1.13	  -55.1274	   52.6682	       -55
      1.14	  -55.1357	   52.8808	       -55
      1.15	   -55.144	   53.0908	       -55
      1.16	    -55.15	   53.2603	       -55
      1.17	   -55.156	   53.4298	       -55
      1.18	  -55.1619	    53.593	       -55
      1.19	  -55.1655	    53.712	       -55
       1.2	  -55.1691	    53.831	       -55
      1.21	  -55.1727	   53.9519	       -55
      1.22	  -55.1763	   54.0749	       -55
      1.23	  -55.1799	   54.1978	       -55
      1.24	  -55.1835	   54.3109	       -55
      1.25	  -55.1862	   54.4141	       -55
      1.26	   -55.189	   54.5173	       -55
      1.27	  -55.1917	   54.6206	       -55
      1.28	  -55.1923	   54.6833	       -55
      1.29	  -55.1929	   54.7374	       -55
       1.3	  -55.1933	   54.7916	       -55
      1.31	  -55.1937	   54.8457	       -55
      1.32	  -55.1921	   54.8597	       -55
      1.33	  -55.1905	   54.8667	       -55
      1.34	  -55.1887	   54.8738	       -55
      1.35	  -55.1869	   54.8787	       -55
      1.36	  -55.1851	   54.8778	       -55
      1.37	   -55.183	   54.8769	       -55
      1.38	   -55.181	    54.876	       -55
      1.39	  -55.1789	   54.8682	       -55
       1.4	  -55.1762	   54.8483	       -55
      1.41	  -55.1734	   54.8284	       -55
      1.42	  -55.1707	   54.8085	       -55
      1.43	   -55.168	   54.7886	       -55
      1.44	  -55.1645	   54.7508	       -55
      1.45	  -55.1611	   54.7129	       -55
      1.46	  -55.1576	    54.675	       -55
      1.47	  -55.1541	   54.6372	       -55
      1.48	  -55.1507	   54.5951	       -55
      1.49	  -55.1472	    54.549	       -55
       1.5	  -55.1438	   54.5028	       -55
      1.51	  -55.1402	   54.4567	       -55
      1.52	  -55.1367	   54.4106	       -55
      1.53	  -55.1331	   54.3619	       -55
      1.54	  -55.1296	   54.3122	       -55
      1.55	   -55.126	   54.2625	       -55
      1.56	  -55.1225	   54.2127	       -55
      1.57	  -55.1189	    54.163	       -55
      1.58	  -55.1154	   54.1142	       -55
      1.59	  -55.1121	   54.0655	       -55
       1.6	  -55.1088	   54.0169	       -55
      1.61	  -55.1056	   53.9683	       -55
      1.62	  -55.1023	   53.9197	       -55
      1.63	   -55.099	    53.874	       -55
      1.64	  -55.0961	   53.8295	       -55
      1.65	  -55.0932	    53.785	       -55
      1.66	  -55.0902	   53.7405	       -55
      1.67	  -55.0873	   53.6961	       -55
      1.68	  -55.0844	   53.6551	       -55
      1.69	  -55.0819	   53.6157	       -55
       1.7	  -55.0793	   53.5763	       -55
      1.71	  -55.0768	   53.5369	       -55
      1.72	  -55.0742	   53.4975	       -55
      1.73	  -55.0717	    53.462	       -55
      1.74	  -55.0695	   53.4281	       -55
      1.75	  -55.0674	   53.3943	       -55
      1.76	  -55.0652	   53.3604	       -55
      1.77	  -55.0631	   53.3266	       -55
      1.78	  -55.0609	    53.295	       -55
      1.79	  -55.0587	   53.2644	       -55
       1.8	  -55.0569	   53.2338	       -55
      1.81	   -55.055	   53.2032	       -55
      1.82	  -55.0531	   53.1727	       -55
      1.83	  -55.0512	   53.1434	       -55
      1.84	  -55.0493	   53.1146	       -55
      1.85	  -55.0474	   53.0859	       -55
      1.86	  -55.0457	   53.0572	       -55
      1.87	   -55.044	   53.0285	       -55
      1.88	  -55.0423	   53.0009	       -55
      1.89	  -55.0406	   52.9733	       -55
       1.9	  -55.0389	   52.9459	       -55
      1.91	  -55.0373	   52.9186	       -55
      1.92	  -55.0358	   52.8912	       -55
      1.93	  -55.0342	   52.8649	       -55
      1.94	  -55.0327	   52.8386	       -55
      1.95	  -55.0311	   52.8124	       -55
      1.96	  -55.0295	   52.7863	       -55
      1.97	  -55.0281	   52.7601	       -55
      1.98	  -55.0267	   52.7352	       -55
      1.99	  -55.0253	   52.7102	       -55
         2	  -55.0239	   52.6855	       -55
      2.01	  -55.0225	   52.6607	       -55
      2.02	  -55.0213	    52.636	       -55
      2.03	    -55.02	   52.6126	       -55
      2.04	  -55.0188	   52.5898	       -55
      2.05	  -55.0175	   52.5669	       -55
      2.06	  -55.0164	   52.5441	       -55
      2.07	  -55.0153	   52.5213	       -55
      2.08	  -55.0141	   52.5002	       -55
      2.09	   -55.013	   52.4799	       -55
       2.1	  -55.0119	   52.4596	       -55
      2.11	   -55.011	   52.4394	       -55
      2.12	    -55.01	   52.4191	       -55
      2.13	  -55.0091	   52.4009	       -55
      2.14	  -55.0082	   52.3838	       -55
      2.15	  -55.0072	   52.3666	       -55
      2.16	  -55.0065	   52.3494	       -55
      2.17	  -55.0057	   52.3322	       -55
      2.18	   -55.005	   52.3176	       -55
      2.19	  -55.0043	   52.3041	       -55
       2.2	  -55.0035	   52.2905	       -55
      2.21	   -55.003	    52.277	       -55
      2.22	  -55.0024	   52.2634	       -55
      2.23	  -55.0019	   52.2527	       -55
      2.24	  -55.0013	   52.2431	       -55
      2.25	  -55.0009	   52.2336	       -55
      2.26	  -55.0006	    52.224	       -55
      2.27	  -55.0002	   52.2145	       -55
      2.28	  -54.9998	   52.2079	       -55
      2.29	  -54.9995	   52.2026	       -55
       2.3	  -54.9993	   52.1972	       -55
      2.31	  -54.9992	   52.1919	       -55
      2.32	   -54.999	   52.1866	       -55
      2.33	  -54.9989	   52.1842	       -55
      2.34	  -54.9988	   52.1831	       -55
      2.35	  -54.9986	    52.182	       -55
      2.36	  -54.9987	   52.1809	       -55
      2.37	  -54.9987	   52.1798	       -55
      2.38	  -54.9988	   52.1816	       -55
      2.39	  -54.9989	   52.1846	       -55
       2.4	  -54.9989	   52.1876	       -55
      2.41	  -54.9992	   52.1906	       -55
      2.42	  -54.9994	   52.1937	       -55
      2.43	  -54.9996	   52.1993	       -55
      2.44	  -54.9999	   52.2062	       -55
      2.45	  -55.0001	    52.213	       -55
      2.46	  -55.0005	   52.2198	       -55
      2.47	  -55.0009	   52.2266	       -55
      2.48	  -55.0013	   52.2358	       -55
      2.49	  -55.0017	    52.246	       -55
       2.5	  -55.0021	   52.2561	       -55
      2.51	  -55.0024	   52.2663	       -55
      2.52	   -55.003	   52.2765	       -55
      2.53	  -55.0035	   52.2886	       -55
      2.54	   -55.004	   52.3016	       -55
      2.55	  -55.0045	   52.3146	       -55
      2.56	   -55.005	   52.3276	       -55
      2.57	  -55.0056	   52.3406	       -55
      2.58	  -55.0061	   52.3548	       -55
      2.59	  -55.0066	   52.3695	       -55
       2.6	  -55.0072	   52.3843	       -55
      2.61	  -55.0077	    52.399	       -55
      2.62	  -55.0083	   52.4138	       -55
      2.63	  -55.0088	   52.4285	       -55
      2.64	  -55.0094	   52.4433	       -55
      2.65	  -55.0099	    52.458	       -55
      2.66	  -55.0104	   52.4727	       -55
      2.67	   -55.011	   52.4875	       -55
      2.68	  -55.0115	   52.5022	       -55
      2.69	  -55.0121	   52.5163	       -55
       2.7	  -55.0126	   52.5303	       -55
      2.71	  -55.0132	   52.5444	       -55
      2.72	  -55.0137	   52.5585	       -55
      2.73	  -55.0143	   52.5714	       -55
      2.74	  -55.0146	   52.5843	       -55
      2.75	   -55.015	    52.597	       -55
      2.76	  -55.0153	   52.6097	       -55
      2.77	  -55.0157	   52.6224	       -55
      2.78	  -55.0161	   52.6338	       -55
      2.79	  -55.0164	   52.6448	       -55
       2.8	  -55.0168	   52.6557	       -55
      2.81	  -55.0172	   52.6666	       -55
      2.82	  -55.0175	   52.6775	       -55
      2.83	  -55.0177	    52.687	       -55
      2.84	  -55.0179	    52.696	       -55
      2.85	  -55.0181	    52.705	       -55
      2.86	  -55.0183	   52.7139	       -55
      2.87	  -55.0184	   52.7229	       -55
      2.88	  -55.0186	   52.7305	       -55
      2.89	  -55.0188	   52.7375	       -55
       2.9	   -55.019	   52.7445	       -55
      2.91	   -55.019	   52.7516	       -55
      2.92	  -55.0191	   52.7586	       -55
      2.93	  -55.0192	   52.7644	       -55
      2.94	  -55.0192	   52.7696	       -55
      2.95	  -55.0193	   52.7749	       -55
      2.96	  -55.0193	   52.7801	       -55
      2.97	  -55.0194	   52.7854	       -55
      2.98	  -55.0194	   52.7893	       -55
      2.99	  -55.0193	   52.7932	       -55
         3	  -55.0192	   52.7969	       -55
      3.01	  -55.0192	   52.8006	       -55
      3.02	  -55.0191	   52.8043	       -55
      3.03	   -55.019	   52.8068	       -55
      3.04	  -55.0189	   52.8094	       -55
      3.05	  -55.0188	   52.8118	       -55
      3.06	  -55.0188	   52.8142	       -55
      3.07	  -55.0187	   52.8166	       -55
      3.08	  -55.0186	   52.8181	       -55
      3.09	  -55.0185	   52.8196	       -55
       3.1	  -55.0184	   52.8209	       -55
      3.11	  -55.0183	   52.8223	       -55
      3.12	  -55.0181	   52.8236	       -55
      3.13	  -55.0179	   52.8242	       -55
      3.14	  -55.0178	   52.8248	       -55
      3.15	  -55.0176	   52.8255	       -55
      3.16	  -55.0174	   52.8259	       -55
      3.17	  -55.0173	   52.8263	       -55
      3.18	  -55.0171	   52.8267	       -55
      3.19	  -55.0169	   52.8266	       -55
       3.2	  -55.0168	   52.8265	       -55
      3.21	  -55.0166	   52.8264	       -55
      3.22	  -55.0164	   52.8263	       -55
      3.23	  -55.0163	   52.8262	       -55
      3.24	  -55.0161	   52.8257	       -55
      3.25	  -55.0159	   52.8251	       -55
      3.26	  -55.0158	   52.8246	       -55
      3.27	  -55.0156	   52.8241	       -55
      3.28	  -55.0154	   52.8236	       -55
      3.29	  -55.0152	   52.8231	       -55
       3.3	  -55.0151	   52.8223	       -55
      3.31	  -55.0149	   52.8215	       -55
      3.32	  -55.0147	   52.8208	       -55
      3.33	  -55.0146	     52.82	       -55
      3.34	  -55.0144	   52.8192	       -55
      3.35	  -55.0142	   52.8185	       -55
      3.36	   -55.014	   52.8177	       -55
      3.37	  -55.0139	   52.8168	       -55
      3.38	  -55.0137	    52.816	       -55
      3.39	  -55.0135	   52.8151	       -55
       3.4	  -55.0133	   52.8142	       -55
      3.41	  -55.0132	   52.8133	       -55
      3.42	   -55.013	   52.8125	       -55
      3.43	  -55.0128	   52.8116	       -55
      3.44	  -55.0127	   52.8107	       -55
      3.45	  -55.0125	   52.8098	       -55
      3.46	  -55.0123	    52.809	       -55
      3.47	  -55.0121	   52.8081	       -55
      3.48	   -55.012	   52.8072	       -55
      3.49	  -55.0118	   52.8063	       -55
       3.5	  -55.0116	   52.8053	       -55
      3.51	  -55.0115	   52.8043	       -55
      3.52	  -55.0113	   52.8033	       -55
      3.53	  -55.0111	   52.8024	       -55
      3.54	  -55.0109	   52.8014	       -55
      3.55	  -55.0108	   52.8004	       -55
      3.56	  -55.0106	   52.7993	       -55
      3.57	  -55.0104	   52.7981	       -55
      3.58	  -55.0102	    52.797	       -55
      3.59	  -55.0101	   52.7958	       -55
       3.6	  -55.0099	   52.7947	       -55
      3.61	  -55.0097	   52.7934	       -55
      3.62	  -55.0096	   52.7921	       -55
      3.63	  -55.0094	   52.7908	       -55
      3.64	  -55.0093	   52.7895	       -55
      3.65	  -55.0091	   52.7882	       -55
      3.66	   -55.009	   52.7867	       -55
      3.67	  -55.0089	   52.7853	       -55
      3.68	  -55.0087	   52.7838	       -55
      3.69	  -55.0086	   52.7824	       -55
       3.7	  -55.0084	   52.7809	       -55
      3.71	  -55.0083	   52.7795	       -55
      3.72	  -55.0081	   52.7779	       -55
      3.73	   -55.008	   52.7763	       -55
      3.74	  -55.0079	   52.7747	       -55
      3.75	  -55.0077	   52.7732	       -55
      3.76	  -55.0076	   52.7716	       -55
      3.77	  -55.0074	     52.77	       -55
      3.78	  -55.0073	   52.7684	       -55
      3.79	  -55.0072	   52.7669	       -55
       3.8	   -55.007	   52.7653	       -55
      3.81	  -55.0069	   52.7638	       -55
      3.82	  -55.0067	   52.7622	       -55
      3.83	  -55.0066	   52.7606	       -55
      3.84	  -55.0064	   52.7591	       -55
      3.85	  -55.0063	   52.7575	       -55
      3.86	  -55.0062	   52.7559	       -55
      3.87	   -55.006	   52.7544	       -55
      3.88	  -55.0059	   52.7528	       -55
      3.89	  -55.0057	   52.7512	       -55
       3.9	  -55.0056	   52.7499	       -55
      3.91	  -55.0055	   52.7485	       -55
      3.92	  -55.0053	   52.7471	       -55
      3.93	  -55.0052	   52.7457	       -55
      3.94	   -55.005	   52.7443	       -55
      3.95	  -55.0049	   52.7429	       -55
      3.96	  -55.0048	   52.7417	       -55
      3.97	  -55.0047	   52.7405	       -55
      3.98	  -55.0046	   52.7393	       -55
      3.99	  -55.0046	   52.7381	       -55
         4	  -55.0045	   52.7371	       -55
      4.01	  -55.0044	   52.7361	       -55
      4.02	  -55.0043	   52.7351	       -55
      4.03	  -55.0042	   52.7341	       -55
      4.04	  -55.0042	   52.7331	       -55
      4.05	  -55.0041	   52.7323	       -55
      4.06	   -55.004	   52.7316	       -55
      4.07	  -55.0039	   52.7308	       -55
      4.08	  -55.0038	   52.7301	       -55
      4.09	  -55.0037	   52.7293	       -55
       4.1	  -55.0037	   52.7288	       -55
      4.11	  -55.0036	   52.7284	       -55
      4.12	  -55.0035	   52.7279	       -55
      4.13	  -55.0034	   52.7274	       -55
      4.14	  -55.0034	   52.7269	       -55
      4.15	  -55.0034	   52.7267	       -55
      4.16	  -55.0033	   52.7266	       -55
      4.17	  -55.0033	   52.7264	       -55
      4.18	  -55.0033	   52.7262	       -55
      4.19	  -55.0033	    52.726	       -55
       4.2	  -55.0033	   52.7261	       -55
      4.21	  -55.0032	   52.7262	       -55
      4.22	  -55.0032	   52.7263	       -55
      4.23	  -55.0032	   52.7263	       -55
      4.24	  -55.0032	   52.7264	       -55
      4.25	  -55.0031	   52.7268	       -55
      4.26	  -55.0031	   52.7272	       -55
      4.27	  -55.0031	   52.7275	       -55
      4.28	  -55.0031	   52.7279	       -55
      4.29	   -55.003	   52.7282	       -55
       4.3	   -55.003	   52.7288	       -55
      4.31	   -55.003	   52.7295	       -55
      4.32	   -55.003	   52.7301	       -55
      4.33	  -55.0029	   52.7307	       -55
      4.34	  -55.0029	   52.7313	       -55
      4.35	  -55.0029	   52.7321	       -55
      4.36	  -55.0029	   52.7329	       -55
      4.37	  -55.0029	   52.7338	       -55
      4.38	  -55.0029	   52.7346	       -55
      4.39	  -55.0029	   52.7354	       -55
       4.4	  -55.0029	   52.7363	       -55
      4.41	  -55.0029	   52.7373	       -55
      4.42	  -55.0029	   52.7383	       -55
      4.43	  -55.0029	   52.7393	       -55
      4.44	  -55.0029	   52.7403	       -55
      4.45	  -55.0029	   52.7414	       -55
      4.46	  -55.0029	   52.7425	       -55
      4.47	  -55.0029	   52.7436	       -55
      4.48	  -55.0029	   52.7448	       -55
      4.49	  -55.0029	   52.7459	       -55
       4.5	  -55.0029	   52.7471	       -55
      4.51	  -55.0029	   52.7482	       -55
      4.52	  -55.0029	   52.7494	       -55
      4.53	  -55.0029	   52.7506	       -55
      4.54	  -55.0029	   52.7517	       -55
      4.55	  -55.0029	   52.7529	       -55
      4.56	  -55.0029	   52.7541	       -55
      4.57	  -55.0029	   52.7553	       -55
      4.58	  -55.0028	   52.7565	       -55
      4.59	  -55.0028	   52.7577	       -55
       4.6	  -55.0028	   52.7589	       -55
      4.61	  -55.0028	   52.7601	       -55
      4.62	  -55.0028	   52.7613	       -55
      4.63	  -55.0028	   52.7624	       -55
      4.64	  -55.0028	   52.7636	       -55
      4.65	  -55.0028	   52.7648	       -55
      4.66	  -55.0028	    52.766	       -55
      4.67	  -55.0028	   52.7672	       -55
      4.68	  -55.0028	   52.7684	       -55
      4.69	  -55.0028	   52.7696	       -55
       4.7	  -55.0028	   52.7708	       -55
      4.71	  -55.0028	    52.772	       -55
      4.72	  -55.0028	   52.7731	       -55
      4.73	  -55.0028	   52.7741	       -55
      4.74	  -55.0028	   52.7751	       -55
      4.75	  -55.0028	    52.776	       -55
      4.76	  -55.0028	    52.777	       -55
      4.77	  -55.0028	    52.778	       -55
      4.78	  -55.0028	   52.7789	       -55
      4.79	  -55.0028	   52.7799	       -55
       4.8	  -55.0028	   52.7807	       -55
      4.81	  -55.0028	   52.7815	       -55
      4.82	  -55.0028	   52.7823	       -55
      4.83	  -55.0028	    52.783	       -55
      4.84	  -55.0028	   52.7838	       -55
      4.85	  -55.0028	   52.7846	       -55
      4.86	  -55.0028	   52.7852	       -55
      4.87	  -55.0028	   52.7858	       -55
      4.88	  -55.0028	   52.7864	       -55
      4.89	  -55.0028	    52.787	       -55
       4.9	  -55.0028	   52.7876	       -55
      4.91	  -55.0028	    52.788	       -55
      4.92	  -55.0027	   52.7885	       -55
      4.93	  -55.0027	   52.7889	       -55
      4.94	  -55.0027	   52.7893	       -55
      4.95	  -55.0027	   52.7897	       -55
      4.96	  -55.0027	     52.79	       -55
      4.97	  -55.0027	   52.7902	       -55
      4.98	  -55.0027	   52.7905	       -55
      4.99	  -55.0027	   52.7907	       -55
         5	  -55.0027	    52.791	       -55
      5.01	  -55.0027	   52.7911	       -55
      5.02	  -55.0027	   52.7911	       -55
      5.03	  -55.0027	   52.7912	       -55
      5.04	  -55.0027	   52.7913	       -55
      5.05	  -55.0027	   52.7913	       -55
      5.06	  -55.0027	   52.7912	       -55
      5.07	  -55.0027	   52.7912	       -55
      5.08	  -55.0027	   52.7911	       -55
      5.09	  -55.0027	    52.791	       -55
       5.1	  -55.0027	   52.7909	       -55
      5.11	  -55.0027	   52.7906	       -55
      5.12	  -55.0027	   52.7904	       -55
      5.13	  -55.0027	   52.7901	       -55
      5.14	  -55.0027	   52.7899	       -55
      5.15	  -55.0027	   52.7896	       -55
      5.16	  -55.0027	   52.7894	       -55
      5.17	  -55.0027	    52.789	       -55
      5.18	  -55.0026	   52.7886	       -55
      5.19	  -55.0026	   52.7882	       -55
       5.2	  -55.0026	   52.7878	       -55
      5.21	  -55.0025	   52.7874	       -55
      5.22	  -55.0025	    52.787	       -55
      5.23	  -55.0025	   52.7865	       -55
      5.24	  -55.0024	    52.786	       -55
      5.25	  -55.0024	   52.7855	       -55
      5.26	  -55.0023	    52.785	       -55
      5.27	  -55.0023	   52.7845	       -55
      5.28	  -55.0023	   52.7839	       -55
      5.29	  -55.0022	   52.7833	       -55
       5.3	  -55.0022	   52.7827	       -55
      5.31	  -55.0022	   52.7821	       -55
      5.32	  -55.0021	   52.7815	       -55
      5.33	  -55.0021	   52.7809	       -55
      5.34	  -55.0021	   52.7803	       -55
      5.35	   -55.002	   52.7797	       -55
      5.36	   -55.002	   52.7791	       -55
      5.37	   -55.002	   52.7785	       -55
      5.38	  -55.0019	   52.7779	       -55
      5.39	  -55.0019	   52.7773	       -55
       5.4	  -55.0018	   52.7768	       -55
      5.41	  -55.0018	   52.7762	       -55
      5.42	  -55.0018	   52.7756	       -55
      5.43	  -55.0017	    52.775	       -55
      5.44	  -55.0017	   52.7744	       -55
      5.45	  -55.0017	   52.7738	       -55
      5.46	  -55.0016	   52.7732	       -55
      5.47	  -55.0016	   52.7726	       -55
      5.48	  -55.0016	    52.772	       -55
      5.49	  -55.0015	   52.7714	       -55
       5.5	  -55.0015	   52.7708	       -55
      5.51	  -55.0014	   52.7702	       -55
      5.52	  -55.0014	   52.7696	       -55
      5.53	  -55.0014	    52.769	       -55
      5.54	  -55.0013	   52.7686	       -55
      5.55	  -55.0013	   52.7681	       -55
      5.56	  -55.0013	   52.7676	       -55
      5.57	  -55.0012	   52.7672	       -55
      5.58	  -55.0012	   52.7667	       -55
      5.59	  -55.0012	   52.7663	       -55
       5.6	  -55.0011	   52.7658	       -55
      5.61	  -55.0011	   52.7653	       -55
      5.62	  -55.0011	   52.7649	       -55
      5.63	   -55.001	   52.7644	       -55
      5.64	   -55.001	   52.7641	       -55
      5.65	  -55.0009	   52.7638	       -55
      5.66	  -55.0009	   52.7635	       -55
      5.67	  -55.0009	   52.7633	       -55
      5.68	  -55.0008	    52.763	       -55
      5.69	  -55.0008	   52.7627	       -55
       5.7	  -55.0008	   52.7624	       -55
      5.71	  -55.0007	   52.7621	       -55
      5.72	  -55.0007	   52.7618	       -55
      5.73	  -55.0007	   52.7617	       -55
      5.74	  -55.0006	   52.7616	       -55
      5.75	  -55.0006	   52.7615	       -55
      5.76	  -55.0005	   52.7614	       -55
      5.77	  -55.0005	   52.7613	       -55
      5.78	  -55.0005	   52.7611	       -55
      5.79	  -55.0005	    52.761	       -55
       5.8	  -55.0005	   52.7609	       -55
      5.81	  -55.0005	    52.761	       -55
      5.82	  -55.0005	    52.761	       -55
      5.83	  -55.0005	    52.761	       -55
      5.84	  -55.0005	   52.7611	       -55
      5.85	  -55.0006	   52.7611	       -55
      5.86	  -55.0006	   52.7611	       -55
      5.87	  -55.0006	   52.7612	       -55
      5.88	  -55.0006	   52.7614	       -55
      5.89	  -55.0006	   52.7616	       -55
       5.9	  -55.0006	   52.7617	       -55
      5.91	  -55.0006	   52.7619	       -55
      5.92	  -55.0006	   52.7621	       -55
      5.93	  -55.0006	   52.7623	       -55
      5.94	  -55.0006	   52.7625	       -55
      5.95	  -55.0006	   52.7627	       -55
      5.96	  -55.0006	    52.763	       -55
      5.97	  -55.0006	   52.7633	       -55
      5.98	  -55.0006	   52.7636	       -55
      5.99	  -55.0006	   52.7639	       -55
         6	  -55.0006	   52.7642	       -55
      6.01	  -55.0006	   52.7645	       -55
      6.02	  -55.0006	   52.7648	       -55
      6.03	  -55.0006	   52.7651	       -55
      6.04	  -55.0006	   52.7655	       -55
      6.05	  -55.0007	   52.7659	       -55
      6.06	  -55.0007	   52.7663	       -55
      6.07	  -55.0007	   52.7668	       -55
      6.08	  -55.0007	   52.7672	       -55
      6.09	  -55.0007	   52.7676	       -55
       6.1	  -55.0007	    52.768	       -55
      6.11	  -55.0007	   52.7684	       -55
      6.12	  -55.0007	   52.7688	       -55
      6.13	  -55.0007	   52.7692	       -55
      6.14	  -55.0007	   52.7696	       -55
      6.15	  -55.0007	     52.77	       -55
      6.16	  -55.0007	   52.7704	       -55
      6.17	  -55.0007	   52.7708	       -55
      6.18	  -55.0007	   52.7713	       -55
      6.19	  -55.0007	   52.7717	       -55
       6.2	  -55.0007	   52.7721	       -55
      6.21	  -55.0007	   52.7725	       -55
      6.22	  -55.0007	   52.7729	       -55
      6.23	  -55.0007	   52.7733	       -55
      6.24	  -55.0007	   52.7737	       -55
      6.25	  -55.0007	   52.7741	       -55
      6.26	  -55.0007	   52.7746	       -55
      6.27	  -55.0007	    52.775	       -55
      6.28	  -55.0007	   52.7754	       -55
      6.29	  -55.0007	   52.7758	       -55
       6.3	  -55.0007	   52.7762	       -55
      6.31	  -55.0007	   52.7766	       -55
      6.32	  -55.0007	    52.777	       -55
      6.33	  -55.0007	   52.7774	       -55
