Time	"STREAMS(""S-21"").Zn(""CO2"")"	RR_CO2
         0	  0.967051	  0.975236
      0.01	  0.967051	  0.975236
      0.02	  0.967051	  0.975236
      0.03	  0.967051	  0.975236
      0.04	  0.967051	  0.975236
      0.05	  0.967051	  0.975236
      0.06	  0.967051	  0.975236
      0.07	  0.967051	  0.975236
      0.08	  0.967051	  0.975236
      0.09	  0.967051	  0.975236
       0.1	  0.967051	  0.975236
      0.11	  0.967051	  0.975236
      0.12	  0.967051	  0.975236
      0.13	  0.967051	  0.975236
      0.14	  0.967051	  0.975236
      0.15	  0.967051	  0.975236
      0.16	  0.967051	  0.975236
      0.17	  0.967051	  0.975236
      0.18	  0.967051	  0.975236
      0.19	  0.967051	  0.975236
       0.2	  0.967051	  0.975236
      0.21	  0.967051	  0.975236
      0.22	  0.967051	  0.975236
      0.23	  0.967051	  0.975236
      0.24	  0.967051	  0.975236
      0.25	  0.967051	  0.975236
      0.26	  0.967051	  0.975236
      0.27	  0.967051	  0.975236
      0.28	  0.967051	  0.975236
      0.29	  0.967051	  0.975236
       0.3	  0.967051	  0.975236
      0.31	  0.967051	  0.975236
      0.32	  0.967051	  0.975236
      0.33	  0.967051	  0.975236
      0.34	  0.967051	  0.975236
      0.35	  0.967051	  0.975236
      0.36	  0.967051	  0.975236
      0.37	  0.967051	  0.975236
      0.38	  0.967051	  0.975236
      0.39	  0.967051	  0.975236
       0.4	  0.967051	  0.975236
      0.41	  0.967051	  0.975236
      0.42	  0.967051	  0.975236
      0.43	  0.967051	  0.975236
      0.44	  0.967051	  0.975236
      0.45	  0.967051	  0.975236
      0.46	  0.967051	  0.975236
      0.47	  0.967051	  0.975236
      0.48	  0.967051	  0.975236
      0.49	  0.967051	  0.975236
       0.5	  0.967051	  0.975236
      0.51	  0.967051	  0.975236
      0.52	  0.967051	  0.975236
      0.53	  0.967051	  0.975236
      0.54	  0.967051	  0.975236
      0.55	  0.967051	  0.975236
      0.56	  0.967051	  0.975236
      0.57	  0.967051	  0.975236
      0.58	  0.967051	  0.975236
      0.59	  0.967051	  0.975236
       0.6	  0.967051	  0.975236
      0.61	  0.967051	  0.975236
      0.62	  0.967051	  0.975236
      0.63	  0.967051	  0.975236
      0.64	  0.967051	  0.975236
      0.65	  0.967051	  0.975236
      0.66	  0.967051	  0.975236
      0.67	  0.967051	  0.975236
      0.68	  0.967051	  0.975236
      0.69	  0.967051	  0.975236
       0.7	  0.967051	  0.975236
      0.71	  0.967051	  0.975236
      0.72	  0.967051	  0.975236
      0.73	  0.967051	  0.975236
      0.74	  0.967051	  0.975236
      0.75	  0.967051	  0.975236
      0.76	  0.967051	  0.975236
      0.77	  0.967051	  0.975236
      0.78	  0.967051	  0.975236
      0.79	  0.967051	  0.975236
       0.8	  0.967051	  0.975236
      0.81	  0.967051	  0.975236
      0.82	  0.967051	  0.975236
      0.83	  0.967051	  0.975236
      0.84	  0.967051	  0.975236
      0.85	  0.967051	  0.975236
      0.86	  0.967051	  0.975236
      0.87	  0.967051	  0.975236
      0.88	  0.967051	  0.975236
      0.89	  0.967051	  0.975236
       0.9	  0.967051	  0.975236
      0.91	  0.967051	  0.975236
      0.92	  0.967051	  0.975236
      0.93	  0.967051	  0.975236
      0.94	  0.967051	  0.975236
      0.95	  0.967051	  0.975236
      0.96	  0.967051	  0.975236
      0.97	  0.967051	  0.975236
      0.98	  0.967051	  0.975236
      0.99	  0.967051	  0.975236
         1	  0.967051	  0.975236
      1.01	  0.967036	  0.993443
      1.02	  0.967035	  0.989845
      1.03	  0.967035	  0.985888
      1.04	  0.967045	  0.982358
      1.05	  0.967056	  0.979574
      1.06	  0.967078	  0.977311
      1.07	  0.967099	  0.975404
      1.08	  0.967131	  0.974085
      1.09	  0.967163	   0.97296
       1.1	  0.967195	  0.972136
      1.11	  0.967235	  0.971436
      1.12	  0.967276	  0.970766
      1.13	  0.967317	  0.970276
      1.14	  0.967363	   0.96984
      1.15	   0.96741	  0.969417
      1.16	  0.967456	  0.969189
      1.17	  0.967502	   0.96896
      1.18	  0.967548	  0.968746
      1.19	  0.967595	  0.968627
       1.2	  0.967642	  0.968508
      1.21	  0.967689	  0.968357
      1.22	  0.967736	  0.968172
      1.23	  0.967783	  0.967987
      1.24	   0.96783	  0.967816
      1.25	  0.967873	  0.967661
      1.26	  0.967915	  0.967506
      1.27	  0.967957	   0.96735
      1.28	     0.968	   0.96726
      1.29	  0.968042	  0.967183
       1.3	   0.96808	  0.967106
      1.31	  0.968118	  0.967029
      1.32	  0.968155	   0.96701
      1.33	  0.968193	  0.966992
      1.34	  0.968226	  0.966976
      1.35	  0.968258	  0.966959
      1.36	  0.968291	  0.966932
      1.37	  0.968318	  0.966905
      1.38	  0.968346	  0.966878
      1.39	  0.968373	  0.966865
       1.4	    0.9684	  0.966875
      1.41	  0.968422	  0.966885
      1.42	  0.968443	  0.966896
      1.43	  0.968465	  0.966906
      1.44	  0.968487	  0.966948
      1.45	  0.968502	  0.966991
      1.46	  0.968517	  0.967034
      1.47	  0.968532	  0.967076
      1.48	  0.968548	   0.96713
      1.49	  0.968563	  0.967195
       1.5	  0.968573	  0.967259
      1.51	  0.968582	  0.967324
      1.52	  0.968592	  0.967388
      1.53	  0.968601	   0.96747
      1.54	  0.968611	  0.967553
      1.55	  0.968615	   0.96764
      1.56	   0.96862	  0.967728
      1.57	  0.968625	  0.967815
      1.58	   0.96863	  0.967903
      1.59	  0.968634	  0.968002
       1.6	  0.968635	  0.968101
      1.61	  0.968636	    0.9682
      1.62	  0.968637	  0.968299
      1.63	  0.968637	  0.968397
      1.64	  0.968638	  0.968503
      1.65	  0.968639	  0.968608
      1.66	  0.968637	  0.968713
      1.67	  0.968634	  0.968818
      1.68	  0.968632	  0.968923
      1.69	   0.96863	  0.969028
       1.7	  0.968628	  0.969137
      1.71	  0.968626	  0.969246
      1.72	  0.968621	  0.969355
      1.73	  0.968617	  0.969465
      1.74	  0.968613	  0.969574
      1.75	  0.968609	  0.969688
      1.76	  0.968605	  0.969802
      1.77	  0.968601	  0.969916
      1.78	  0.968597	   0.97003
      1.79	  0.968592	  0.970144
       1.8	  0.968587	   0.97026
      1.81	  0.968582	  0.970376
      1.82	  0.968577	  0.970492
      1.83	  0.968572	  0.970608
      1.84	  0.968567	  0.970718
      1.85	  0.968562	  0.970828
