Time	PV	OP	SP
         0	   25.0002	  -73.7276	   25.0002
      0.01	   25.0002	  -73.7276	   25.0002
      0.02	   25.0002	  -73.7276	   25.0002
      0.03	   25.0002	  -73.7276	   25.0002
      0.04	   25.0002	  -73.7276	   25.0002
      0.05	   25.0002	  -73.7276	   25.0002
      0.06	   25.0002	  -73.7276	   25.0002
      0.07	   25.0002	  -73.7276	   25.0002
      0.08	   25.0002	  -73.7276	   25.0002
      0.09	   25.0002	  -73.7276	   25.0002
       0.1	   25.0002	  -73.7276	   25.0002
      0.11	   25.0002	  -73.7276	   25.0002
      0.12	   25.0002	  -73.7276	   25.0002
      0.13	   25.0002	  -73.7276	   25.0002
      0.14	   25.0002	  -73.7276	   25.0002
      0.15	   25.0002	  -73.7276	   25.0002
      0.16	   25.0002	  -73.7276	   25.0002
      0.17	   25.0002	  -73.7276	   25.0002
      0.18	   25.0002	  -73.7276	   25.0002
      0.19	   25.0002	  -73.7276	   25.0002
       0.2	   25.0002	  -73.7276	   25.0002
      0.21	   25.0002	  -73.7276	   25.0002
      0.22	   25.0002	  -73.7276	   25.0002
      0.23	   25.0002	  -73.7276	   25.0002
      0.24	   25.0002	  -73.7276	   25.0002
      0.25	   25.0002	  -73.7276	   25.0002
      0.26	   25.0002	  -73.7276	   25.0002
      0.27	   25.0002	  -73.7276	   25.0002
      0.28	   25.0002	  -73.7276	   25.0002
      0.29	   25.0002	  -73.7276	   25.0002
       0.3	   25.0002	  -73.7276	   25.0002
      0.31	   25.0002	  -73.7276	   25.0002
      0.32	   25.0002	  -73.7276	   25.0002
      0.33	   25.0002	  -73.7276	   25.0002
      0.34	   25.0002	  -73.7276	   25.0002
      0.35	   25.0002	  -73.7276	   25.0002
      0.36	   25.0002	  -73.7276	   25.0002
      0.37	   25.0002	  -73.7276	   25.0002
      0.38	   25.0002	  -73.7276	   25.0002
      0.39	   25.0002	  -73.7276	   25.0002
       0.4	   25.0002	  -73.7276	   25.0002
      0.41	   25.0002	  -73.7276	   25.0002
      0.42	   25.0002	  -73.7276	   25.0002
      0.43	   25.0002	  -73.7276	   25.0002
      0.44	   25.0002	  -73.7276	   25.0002
      0.45	   25.0002	  -73.7276	   25.0002
      0.46	   25.0002	  -73.7276	   25.0002
      0.47	   25.0002	  -73.7276	   25.0002
      0.48	   25.0002	  -73.7276	   25.0002
      0.49	   25.0002	  -73.7276	   25.0002
       0.5	   25.0002	  -73.7276	   25.0002
      0.51	   25.0002	  -73.7276	   25.0002
      0.52	   25.0002	  -73.7276	   25.0002
      0.53	   25.0002	  -73.7276	   25.0002
      0.54	   25.0002	  -73.7276	   25.0002
      0.55	   25.0002	  -73.7276	   25.0002
      0.56	   25.0002	  -73.7276	   25.0002
      0.57	   25.0002	  -73.7276	   25.0002
      0.58	   25.0002	  -73.7276	   25.0002
      0.59	   25.0002	  -73.7276	   25.0002
       0.6	   25.0002	  -73.7276	   25.0002
      0.61	   25.0002	  -73.7276	   25.0002
      0.62	   25.0002	  -73.7276	   25.0002
      0.63	   25.0002	  -73.7276	   25.0002
      0.64	   25.0002	  -73.7276	   25.0002
      0.65	   25.0002	  -73.7276	   25.0002
      0.66	   25.0002	  -73.7276	   25.0002
      0.67	   25.0002	  -73.7276	   25.0002
      0.68	   25.0002	  -73.7276	   25.0002
      0.69	   25.0002	  -73.7276	   25.0002
       0.7	   25.0002	  -73.7276	   25.0002
      0.71	   25.0002	  -73.7276	   25.0002
      0.72	   25.0002	  -73.7276	   25.0002
      0.73	   25.0002	  -73.7276	   25.0002
      0.74	   25.0002	  -73.7276	   25.0002
      0.75	   25.0002	  -73.7276	   25.0002
      0.76	   25.0002	  -73.7276	   25.0002
      0.77	   25.0002	  -73.7276	   25.0002
      0.78	   25.0002	  -73.7276	   25.0002
      0.79	   25.0002	  -73.7276	   25.0002
       0.8	   25.0002	  -73.7276	   25.0002
      0.81	   25.0002	  -73.7276	   25.0002
      0.82	   25.0002	  -73.7276	   25.0002
      0.83	   25.0002	  -73.7276	   25.0002
      0.84	   25.0002	  -73.7276	   25.0002
      0.85	   25.0002	  -73.7276	   25.0002
      0.86	   25.0002	  -73.7276	   25.0002
      0.87	   25.0002	  -73.7276	   25.0002
      0.88	   25.0002	  -73.7276	   25.0002
      0.89	   25.0002	  -73.7276	   25.0002
       0.9	   25.0002	  -73.7276	   25.0002
      0.91	   25.0002	  -73.7276	   25.0002
      0.92	   25.0002	  -73.7276	   25.0002
      0.93	   25.0002	  -73.7276	   25.0002
      0.94	   25.0002	  -73.7276	   25.0002
      0.95	   25.0002	  -73.7276	   25.0002
      0.96	   25.0002	  -73.7276	   25.0002
      0.97	   25.0002	  -73.7276	   25.0002
      0.98	   25.0002	  -73.7276	   25.0002
      0.99	   25.0002	  -73.7276	   25.0002
         1	   25.0002	  -73.7276	   25.0002
      1.01	   25.5328	  -74.0591	   25.0002
      1.02	   25.5568	  -74.1872	   25.0002
      1.03	   25.5591	  -74.3077	   25.0002
      1.04	   25.5497	   -74.421	   25.0002
      1.05	   25.5324	  -74.5272	   25.0002
      1.06	   25.5094	   -74.626	   25.0002
      1.07	   25.4836	  -74.7155	   25.0002
      1.08	   25.4573	  -74.7998	   25.0002
      1.09	   25.4307	  -74.8771	   25.0002
       1.1	   25.4049	  -74.9498	   25.0002
      1.11	   25.3802	  -75.0159	   25.0002
      1.12	   25.3559	  -75.0807	   25.0002
      1.13	   25.3349	   -75.137	   25.0002
      1.14	   25.3138	  -75.1933	   25.0002
      1.15	   25.2956	  -75.2445	   25.0002
      1.16	   25.2792	  -75.2926	   25.0002
      1.17	   25.2627	  -75.3407	   25.0002
      1.18	   25.2497	  -75.3842	   25.0002
      1.19	   25.2379	  -75.4259	   25.0002
       1.2	   25.2261	  -75.4676	   25.0002
      1.21	   25.2156	  -75.5074	   25.0002
      1.22	   25.2071	  -75.5443	   25.0002
      1.23	   25.1986	  -75.5812	   25.0002
      1.24	   25.1902	  -75.6181	   25.0002
      1.25	    25.185	  -75.6522	   25.0002
      1.26	   25.1798	  -75.6862	   25.0002
      1.27	   25.1745	  -75.7202	   25.0002
      1.28	     25.17	  -75.7543	   25.0002
      1.29	   25.1671	  -75.7867	   25.0002
       1.3	   25.1643	  -75.8192	   25.0002
      1.31	   25.1614	  -75.8516	   25.0002
      1.32	   25.1586	  -75.8841	   25.0002
      1.33	   25.1567	  -75.9151	   25.0002
      1.34	   25.1547	  -75.9461	   25.0002
      1.35	   25.1529	  -75.9771	   25.0002
      1.36	    25.151	   -76.008	   25.0002
      1.37	   25.1492	  -76.0389	   25.0002
      1.38	   25.1463	  -76.0668	   25.0002
      1.39	   25.1434	  -76.0947	   25.0002
       1.4	   25.1403	  -76.1222	   25.0002
      1.41	   25.1373	  -76.1498	   25.0002
      1.42	   25.1335	  -76.1759	   25.0002
      1.43	   25.1284	  -76.1994	   25.0002
      1.44	   25.1233	  -76.2229	   25.0002
      1.45	   25.1186	  -76.2456	   25.0002
      1.46	   25.1142	  -76.2671	   25.0002
      1.47	   25.1098	  -76.2887	   25.0002
      1.48	   25.1064	  -76.3085	   25.0002
      1.49	    25.103	  -76.3283	   25.0002
       1.5	   25.0996	  -76.3481	   25.0002
      1.51	   25.0956	  -76.3655	   25.0002
      1.52	   25.0915	   -76.383	   25.0002
      1.53	   25.0875	  -76.3985	   25.0002
      1.54	   25.0837	  -76.4141	   25.0002
      1.55	   25.0798	  -76.4293	   25.0002
      1.56	   25.0759	  -76.4419	   25.0002
      1.57	    25.072	  -76.4537	   25.0002
      1.58	    25.068	  -76.4655	   25.0002
      1.59	    25.064	  -76.4773	   25.0002
       1.6	   25.0588	   -76.485	   25.0002
      1.61	   25.0536	  -76.4927	   25.0002
      1.62	   25.0482	     -76.5	   25.0002
      1.63	   25.0429	   -76.506	   25.0002
      1.64	   25.0371	  -76.5096	   25.0002
      1.65	   25.0312	  -76.5132	   25.0002
      1.66	   25.0252	  -76.5144	   25.0002
      1.67	   25.0188	  -76.5133	   25.0002
      1.68	   25.0125	  -76.5122	   25.0002
      1.69	   25.0061	  -76.5103	   25.0002
       1.7	   24.9995	  -76.5048	   25.0002
      1.71	   24.9929	  -76.4993	   25.0002
      1.72	   24.9866	  -76.4937	   25.0002
      1.73	   24.9815	  -76.4873	   25.0002
      1.74	   24.9751	   -76.478	   25.0002
      1.75	   24.9682	  -76.4676	   25.0002
      1.76	   24.9617	  -76.4561	   25.0002
      1.77	   24.9557	  -76.4436	   25.0002
      1.78	   24.9491	  -76.4283	   25.0002
      1.79	   24.9421	  -76.4113	   25.0002
       1.8	   24.9351	  -76.3942	   25.0002
      1.81	   24.9298	  -76.3757	   25.0002
      1.82	   24.9249	  -76.3571	   25.0002
      1.83	     24.92	  -76.3372	   25.0002
      1.84	    24.915	   -76.316	   25.0002
      1.85	   24.9102	  -76.2948	   25.0002
      1.86	   24.9061	  -76.2713	   25.0002
      1.87	   24.9021	  -76.2478	   25.0002
      1.88	   24.8981	  -76.2243	   25.0002
      1.89	   24.8992	  -76.2033	   25.0002
       1.9	   24.8986	   -76.181	   25.0002
      1.91	   24.8971	  -76.1587	   25.0002
      1.92	   24.8956	  -76.1355	   25.0002
      1.93	   24.8942	  -76.1123	   25.0002
      1.94	   24.8929	   -76.089	   25.0002
      1.95	   24.8923	  -76.0657	   25.0002
      1.96	   24.8917	  -76.0424	   25.0002
      1.97	   24.8917	  -76.0191	   25.0002
      1.98	   24.8928	  -75.9972	   25.0002
      1.99	   24.8939	  -75.9754	   25.0002
         2	    24.895	  -75.9535	   25.0002
      2.01	    24.897	   -75.933	   25.0002
      2.02	   24.9009	   -75.915	   25.0002
      2.03	   24.9047	   -75.897	   25.0002
      2.04	   24.9085	   -75.879	   25.0002
      2.05	   24.9129	  -75.8633	   25.0002
      2.06	   24.9173	  -75.8476	   25.0002
      2.07	   24.9209	  -75.8341	   25.0002
      2.08	   24.9245	  -75.8205	   25.0002
      2.09	   24.9281	   -75.807	   25.0002
       2.1	   24.9319	  -75.7947	   25.0002
      2.11	   24.9363	  -75.7841	   25.0002
      2.12	   24.9406	  -75.7735	   25.0002
      2.13	   24.9444	  -75.7644	   25.0002
      2.14	   24.9482	   -75.756	   25.0002
      2.15	   24.9518	  -75.7477	   25.0002
      2.16	   24.9554	  -75.7404	   25.0002
      2.17	   24.9587	  -75.7345	   25.0002
      2.18	   24.9621	  -75.7285	   25.0002
      2.19	   24.9654	  -75.7225	   25.0002
       2.2	   24.9683	  -75.7188	   25.0002
      2.21	   24.9711	   -75.715	   25.0002
      2.22	    24.974	  -75.7112	   25.0002
      2.23	   24.9768	  -75.7075	   25.0002
      2.24	   24.9791	  -75.7056	   25.0002
      2.25	   24.9814	  -75.7038	   25.0002
      2.26	   24.9837	  -75.7019	   25.0002
      2.27	    24.986	  -75.7001	   25.0002
      2.28	    24.988	  -75.6989	   25.0002
      2.29	   24.9896	  -75.6987	   25.0002
       2.3	   24.9912	  -75.6985	   25.0002
      2.31	   24.9928	  -75.6982	   25.0002
      2.32	   24.9944	   -75.698	   25.0002
      2.33	    24.996	  -75.6978	   25.0002
      2.34	   24.9971	  -75.6985	   25.0002
      2.35	   24.9981	  -75.6993	   25.0002
      2.36	   24.9991	     -75.7	   25.0002
      2.37	   25.0002	  -75.7007	   25.0002
      2.38	   25.0012	  -75.7015	   25.0002
      2.39	   25.0018	  -75.7022	   25.0002
       2.4	   25.0024	  -75.7034	   25.0002
      2.41	    25.003	  -75.7045	   25.0002
      2.42	   25.0036	  -75.7057	   25.0002
      2.43	   25.0042	  -75.7069	   25.0002
      2.44	   25.0044	   -75.708	   25.0002
      2.45	   25.0047	  -75.7092	   25.0002
      2.46	   25.0049	  -75.7104	   25.0002
      2.47	   25.0052	  -75.7115	   25.0002
      2.48	   25.0054	  -75.7127	   25.0002
      2.49	   25.0054	  -75.7138	   25.0002
       2.5	   25.0054	  -75.7149	   25.0002
      2.51	   25.0055	   -75.716	   25.0002
      2.52	   25.0055	  -75.7171	   25.0002
      2.53	   25.0055	  -75.7182	   25.0002
      2.54	   25.0055	  -75.7193	   25.0002
      2.55	   25.0053	  -75.7203	   25.0002
      2.56	   25.0052	  -75.7214	   25.0002
      2.57	   25.0051	  -75.7225	   25.0002
      2.58	   25.0049	  -75.7233	   25.0002
      2.59	   25.0048	  -75.7241	   25.0002
       2.6	   25.0047	  -75.7249	   25.0002
      2.61	   25.0045	  -75.7257	   25.0002
      2.62	   25.0043	  -75.7265	   25.0002
      2.63	   25.0042	  -75.7273	   25.0002
      2.64	    25.004	  -75.7278	   25.0002
      2.65	   25.0038	  -75.7283	   25.0002
      2.66	   25.0037	  -75.7287	   25.0002
      2.67	   25.0035	  -75.7292	   25.0002
      2.68	   25.0033	  -75.7297	   25.0002
      2.69	   25.0032	  -75.7302	   25.0002
       2.7	    25.003	  -75.7307	   25.0002
      2.71	   25.0028	  -75.7312	   25.0002
      2.72	   25.0027	  -75.7315	   25.0002
      2.73	   25.0025	  -75.7317	   25.0002
      2.74	   25.0023	   -75.732	   25.0002
      2.75	   25.0022	  -75.7323	   25.0002
      2.76	    25.002	  -75.7326	   25.0002
      2.77	   25.0018	  -75.7328	   25.0002
      2.78	   25.0017	  -75.7331	   25.0002
      2.79	   25.0015	  -75.7333	   25.0002
       2.8	   25.0015	  -75.7335	   25.0002
      2.81	   25.0014	  -75.7338	   25.0002
      2.82	   25.0013	   -75.734	   25.0002
      2.83	   25.0013	  -75.7342	   25.0002
      2.84	   25.0012	  -75.7344	   25.0002
      2.85	   25.0012	  -75.7346	   25.0002
      2.86	   25.0011	  -75.7349	   25.0002
      2.87	   25.0011	  -75.7351	   25.0002
      2.88	   25.0011	  -75.7353	   25.0002
      2.89	   25.0012	  -75.7355	   25.0002
       2.9	   25.0012	  -75.7357	   25.0002
      2.91	   25.0012	  -75.7359	   25.0002
      2.92	   25.0012	  -75.7362	   25.0002
      2.93	   25.0013	  -75.7364	   25.0002
      2.94	   25.0013	  -75.7366	   25.0002
      2.95	   25.0014	  -75.7368	   25.0002
      2.96	   25.0015	   -75.737	   25.0002
      2.97	   25.0016	  -75.7374	   25.0002
      2.98	   25.0016	  -75.7379	   25.0002
      2.99	   25.0017	  -75.7383	   25.0002
         3	   25.0018	  -75.7387	   25.0002
      3.01	   25.0019	  -75.7391	   25.0002
      3.02	    25.002	  -75.7395	   25.0002
      3.03	   25.0021	  -75.7399	   25.0002
      3.04	   25.0021	  -75.7406	   25.0002
      3.05	   25.0022	  -75.7412	   25.0002
      3.06	   25.0023	  -75.7418	   25.0002
      3.07	   25.0024	  -75.7424	   25.0002
      3.08	   25.0025	  -75.7431	   25.0002
      3.09	   25.0026	  -75.7437	   25.0002
       3.1	   25.0027	  -75.7443	   25.0002
      3.11	   25.0028	   -75.745	   25.0002
      3.12	   25.0029	  -75.7456	   25.0002
      3.13	    25.003	  -75.7462	   25.0002
      3.14	    25.003	  -75.7471	   25.0002
      3.15	   25.0031	  -75.7479	   25.0002
      3.16	   25.0032	  -75.7487	   25.0002
      3.17	   25.0033	  -75.7496	   25.0002
      3.18	   25.0034	  -75.7504	   25.0002
      3.19	   25.0035	  -75.7513	   25.0002
       3.2	   25.0036	  -75.7521	   25.0002
      3.21	   25.0037	   -75.753	   25.0002
      3.22	   25.0038	  -75.7538	   25.0002
      3.23	   25.0038	  -75.7546	   25.0002
      3.24	   25.0039	  -75.7555	   25.0002
      3.25	    25.004	  -75.7563	   25.0002
      3.26	   25.0041	  -75.7572	   25.0002
      3.27	   25.0042	  -75.7581	   25.0002
      3.28	   25.0043	   -75.759	   25.0002
      3.29	   25.0044	  -75.7598	   25.0002
       3.3	   25.0044	  -75.7607	   25.0002
      3.31	   25.0044	  -75.7616	   25.0002
      3.32	   25.0044	  -75.7625	   25.0002
      3.33	   25.0044	  -75.7633	   25.0002
      3.34	   25.0044	  -75.7642	   25.0002
      3.35	   25.0044	  -75.7651	   25.0002
      3.36	   25.0044	   -75.766	   25.0002
      3.37	   25.0044	  -75.7669	   25.0002
      3.38	   25.0044	  -75.7677	   25.0002
      3.39	   25.0043	  -75.7686	   25.0002
       3.4	   25.0042	  -75.7695	   25.0002
      3.41	   25.0042	  -75.7704	   25.0002
      3.42	   25.0041	  -75.7712	   25.0002
      3.43	    25.004	  -75.7721	   25.0002
      3.44	   25.0039	  -75.7728	   25.0002
      3.45	   25.0039	  -75.7734	   25.0002
      3.46	   25.0038	   -75.774	   25.0002
      3.47	   25.0037	  -75.7747	   25.0002
      3.48	   25.0037	  -75.7753	   25.0002
      3.49	   25.0035	   -75.776	   25.0002
       3.5	   25.0034	  -75.7766	   25.0002
      3.51	   25.0032	  -75.7773	   25.0002
      3.52	   25.0031	  -75.7779	   25.0002
      3.53	    25.003	  -75.7783	   25.0002
      3.54	   25.0028	  -75.7787	   25.0002
      3.55	   25.0027	  -75.7791	   25.0002
      3.56	   25.0025	  -75.7795	   25.0002
      3.57	   25.0024	    -75.78	   25.0002
      3.58	   25.0023	  -75.7804	   25.0002
      3.59	   25.0021	  -75.7805	   25.0002
