Time	"STREAMS(""S-21"").Zn(""CO2"")"	RR_CO2
         0	  0.967051	  0.975236
      0.01	  0.967051	  0.975236
      0.02	  0.967051	  0.975236
      0.03	  0.967051	  0.975236
      0.04	  0.967051	  0.975236
      0.05	  0.967051	  0.975236
      0.06	  0.967051	  0.975236
      0.07	  0.967051	  0.975236
      0.08	  0.967051	  0.975236
      0.09	  0.967051	  0.975236
       0.1	  0.967051	  0.975236
      0.11	  0.967051	  0.975236
      0.12	  0.967052	  0.975236
      0.13	  0.967052	  0.975236
      0.14	  0.967052	  0.975236
      0.15	  0.967052	  0.975236
      0.16	  0.967052	  0.975236
      0.17	  0.967052	  0.975236
      0.18	  0.967052	  0.975236
      0.19	  0.967052	  0.975236
       0.2	  0.967052	  0.975236
      0.21	  0.967052	  0.975236
      0.22	  0.967052	  0.975236
      0.23	  0.967052	  0.975236
      0.24	  0.967052	  0.975236
      0.25	  0.967053	  0.975236
      0.26	  0.967053	  0.975236
      0.27	  0.967053	  0.975236
      0.28	  0.967053	  0.975236
      0.29	  0.967053	  0.975236
       0.3	  0.967053	  0.975236
      0.31	  0.967053	  0.975236
      0.32	  0.967053	  0.975236
      0.33	  0.967053	  0.975236
      0.34	  0.967053	  0.975236
      0.35	  0.967053	  0.975236
      0.36	  0.967053	  0.975236
      0.37	  0.967053	  0.975236
      0.38	  0.967054	  0.975236
      0.39	  0.967054	  0.975236
       0.4	  0.967054	  0.975236
      0.41	  0.967054	  0.975236
      0.42	  0.967054	  0.975236
      0.43	  0.967054	  0.975236
      0.44	  0.967054	  0.975236
      0.45	  0.967054	  0.975236
      0.46	  0.967054	  0.975236
      0.47	  0.967054	  0.975236
      0.48	  0.967054	  0.975236
      0.49	  0.967054	  0.975236
       0.5	  0.967054	  0.975236
      0.51	  0.967055	  0.975236
      0.52	  0.967055	  0.975236
      0.53	  0.967055	  0.975236
      0.54	  0.967055	  0.975236
      0.55	  0.967055	  0.975236
      0.56	  0.967055	  0.975236
      0.57	  0.967055	  0.975236
      0.58	  0.967055	  0.975236
      0.59	  0.967055	  0.975236
       0.6	  0.967055	  0.975236
      0.61	  0.967055	  0.975236
      0.62	  0.967055	  0.975236
      0.63	  0.967056	  0.975236
      0.64	  0.967056	  0.975236
      0.65	  0.967056	  0.975236
      0.66	  0.967056	  0.975236
      0.67	  0.967056	  0.975236
      0.68	  0.967056	  0.975236
      0.69	  0.967056	  0.975236
       0.7	  0.967056	  0.975236
      0.71	  0.967056	  0.975236
      0.72	  0.967056	  0.975236
      0.73	  0.967056	  0.975236
      0.74	  0.967056	  0.975236
      0.75	  0.967056	  0.975236
      0.76	  0.967057	  0.975236
      0.77	  0.967057	  0.975236
      0.78	  0.967057	  0.975236
      0.79	  0.967057	  0.975236
       0.8	  0.967057	  0.975236
      0.81	  0.967057	  0.975236
      0.82	  0.967057	  0.975236
      0.83	  0.967057	  0.975236
      0.84	  0.967057	  0.975236
      0.85	  0.967057	  0.975236
      0.86	  0.967057	  0.975236
      0.87	  0.967057	  0.975236
      0.88	  0.967057	  0.975236
      0.89	  0.967058	  0.975236
       0.9	  0.967058	  0.975236
      0.91	  0.967058	  0.975236
      0.92	  0.967058	  0.975236
      0.93	  0.967058	  0.975236
      0.94	  0.967058	  0.975236
      0.95	  0.967058	  0.975236
      0.96	  0.967058	  0.975236
      0.97	  0.967058	  0.975236
      0.98	  0.967058	  0.975236
      0.99	  0.967058	  0.975236
         1	  0.967058	  0.975236
      1.01	  0.967058	  0.959212
      1.02	   0.96706	  0.962661
      1.03	  0.967062	  0.966037
      1.04	  0.967051	  0.968982
      1.05	   0.96704	  0.971464
      1.06	  0.967015	   0.97349
      1.07	  0.966989	  0.975216
      1.08	  0.966952	  0.976723
      1.09	  0.966916	   0.97792
       1.1	  0.966872	  0.978949
      1.11	  0.966827	  0.979741
      1.12	  0.966777	  0.980501
      1.13	  0.966727	  0.981064
      1.14	  0.966671	  0.981628
      1.15	  0.966614	  0.982141
      1.16	  0.966558	  0.982622
      1.17	  0.966497	  0.983102
      1.18	  0.966436	  0.983583
      1.19	  0.966374	  0.984054
       1.2	  0.966309	  0.984526
      1.21	  0.966243	  0.984984
      1.22	  0.966178	  0.985427
      1.23	  0.966113	   0.98587
      1.24	  0.966044	  0.986312
      1.25	  0.965976	  0.986846
      1.26	  0.965907	  0.987379
      1.27	  0.965839	  0.987912
      1.28	  0.965771	  0.988446
      1.29	  0.965701	  0.988979
       1.3	  0.965631	  0.989512
      1.31	  0.965561	  0.990048
      1.32	  0.965491	  0.990583
      1.33	  0.965421	   0.99105
      1.34	  0.965351	  0.991501
      1.35	  0.965281	  0.991952
      1.36	  0.965211	  0.992404
      1.37	  0.965141	  0.992855
      1.38	  0.965072	  0.993107
      1.39	  0.965002	  0.993314
       1.4	  0.964932	  0.993521
      1.41	  0.964862	  0.993729
      1.42	  0.964792	  0.993833
      1.43	  0.964731	   0.99376
      1.44	  0.964669	  0.993686
      1.45	  0.964608	  0.993691
      1.46	  0.964547	  0.993799
      1.47	  0.964493	  0.993907
      1.48	   0.96444	  0.994106
      1.49	  0.964392	  0.994306
       1.5	  0.964344	  0.994453
      1.51	  0.964295	  0.994418
      1.52	  0.964253	  0.994384
      1.53	   0.96421	  0.994318
      1.54	  0.964173	  0.994239
      1.55	  0.964136	  0.994159
      1.56	    0.9641	  0.993989
      1.57	  0.964071	   0.99379
      1.58	  0.964043	  0.993591
      1.59	  0.964015	  0.993391
       1.6	  0.963986	  0.993022
      1.61	  0.963966	  0.992625
      1.62	  0.963945	  0.992227
      1.63	  0.963924	  0.991807
      1.64	  0.963913	  0.991343
      1.65	  0.963902	   0.99088
      1.66	  0.963891	  0.990371
      1.67	   0.96389	  0.989817
      1.68	  0.963888	  0.989264
      1.69	  0.963887	  0.988699
       1.7	  0.963896	  0.988087
      1.71	  0.963906	  0.987475
      1.72	  0.963915	  0.986929
      1.73	  0.963925	  0.986637
      1.74	  0.963945	  0.985972
      1.75	  0.963964	  0.985138
      1.76	  0.963984	  0.984355
      1.77	  0.964013	  0.983624
      1.78	  0.964041	  0.982758
      1.79	  0.964077	   0.98181
       1.8	  0.964113	  0.980863
      1.81	   0.96415	  0.980136
      1.82	  0.964194	  0.979458
      1.83	  0.964238	  0.978736
      1.84	  0.964282	  0.977966
      1.85	  0.964332	  0.977196
