Time	PV	OP	SP
         0	 0.0100716	   7.42529	      0.01
      0.01	 0.0100715	   7.42533	      0.01
      0.02	 0.0100714	   7.42537	      0.01
      0.03	 0.0100713	   7.42542	      0.01
      0.04	 0.0100712	   7.42546	      0.01
      0.05	 0.0100711	    7.4255	      0.01
      0.06	  0.010071	   7.42555	      0.01
      0.07	 0.0100709	   7.42559	      0.01
      0.08	 0.0100708	   7.42563	      0.01
      0.09	 0.0100707	   7.42568	      0.01
       0.1	 0.0100706	   7.42572	      0.01
      0.11	 0.0100705	   7.42576	      0.01
      0.12	 0.0100704	   7.42581	      0.01
      0.13	 0.0100703	   7.42585	      0.01
      0.14	 0.0100701	   7.42589	      0.01
      0.15	   0.01007	   7.42594	      0.01
      0.16	 0.0100699	   7.42598	      0.01
      0.17	 0.0100698	   7.42602	      0.01
      0.18	 0.0100697	   7.42607	      0.01
      0.19	 0.0100695	   7.42611	      0.01
       0.2	 0.0100694	   7.42615	      0.01
      0.21	 0.0100693	   7.42619	      0.01
      0.22	 0.0100691	   7.42622	      0.01
      0.23	  0.010069	   7.42626	      0.01
      0.24	 0.0100688	    7.4263	      0.01
      0.25	 0.0100687	   7.42634	      0.01
      0.26	 0.0100686	   7.42637	      0.01
      0.27	 0.0100684	   7.42641	      0.01
      0.28	 0.0100683	   7.42645	      0.01
      0.29	 0.0100681	   7.42648	      0.01
       0.3	  0.010068	   7.42652	      0.01
      0.31	 0.0100678	   7.42656	      0.01
      0.32	 0.0100676	    7.4266	      0.01
      0.33	 0.0100675	   7.42663	      0.01
      0.34	 0.0100673	   7.42667	      0.01
      0.35	 0.0100672	   7.42671	      0.01
      0.36	  0.010067	   7.42675	      0.01
      0.37	 0.0100668	   7.42678	      0.01
      0.38	 0.0100667	   7.42682	      0.01
      0.39	 0.0100665	   7.42686	      0.01
       0.4	 0.0100664	   7.42689	      0.01
      0.41	 0.0100662	   7.42693	      0.01
      0.42	  0.010066	   7.42696	      0.01
      0.43	 0.0100658	   7.42699	      0.01
      0.44	 0.0100656	   7.42703	      0.01
      0.45	 0.0100655	   7.42706	      0.01
      0.46	 0.0100653	   7.42709	      0.01
      0.47	 0.0100651	   7.42712	      0.01
      0.48	 0.0100649	   7.42715	      0.01
      0.49	 0.0100648	   7.42718	      0.01
       0.5	 0.0100646	   7.42721	      0.01
      0.51	 0.0100644	   7.42724	      0.01
      0.52	 0.0100642	   7.42728	      0.01
      0.53	  0.010064	   7.42731	      0.01
      0.54	 0.0100638	   7.42734	      0.01
      0.55	 0.0100636	   7.42737	      0.01
      0.56	 0.0100635	    7.4274	      0.01
      0.57	 0.0100633	   7.42743	      0.01
      0.58	 0.0100631	   7.42746	      0.01
      0.59	 0.0100629	   7.42749	      0.01
       0.6	 0.0100627	   7.42753	      0.01
      0.61	 0.0100625	   7.42756	      0.01
      0.62	 0.0100623	   7.42759	      0.01
      0.63	 0.0100621	   7.42762	      0.01
      0.64	 0.0100619	   7.42765	      0.01
      0.65	 0.0100617	   7.42768	      0.01
      0.66	 0.0100615	   7.42771	      0.01
      0.67	 0.0100613	   7.42774	      0.01
      0.68	 0.0100611	   7.42777	      0.01
      0.69	 0.0100609	    7.4278	      0.01
       0.7	 0.0100607	   7.42782	      0.01
      0.71	 0.0100605	   7.42785	      0.01
      0.72	 0.0100603	   7.42787	      0.01
      0.73	 0.0100601	    7.4279	      0.01
      0.74	 0.0100599	   7.42792	      0.01
      0.75	 0.0100597	   7.42795	      0.01
      0.76	 0.0100595	   7.42798	      0.01
      0.77	 0.0100593	     7.428	      0.01
      0.78	 0.0100591	   7.42803	      0.01
      0.79	 0.0100589	   7.42805	      0.01
       0.8	 0.0100587	   7.42808	      0.01
      0.81	 0.0100585	    7.4281	      0.01
      0.82	 0.0100583	   7.42813	      0.01
      0.83	 0.0100581	   7.42816	      0.01
