Time	PV	OP	SP
         0	   39.0989	   24905.9	   39.0989
      0.01	   39.0989	   24905.9	   39.0989
      0.02	   39.0989	   24905.9	   39.0989
      0.03	   39.0989	   24905.9	   39.0989
      0.04	   39.0989	   24905.9	   39.0989
      0.05	   39.0989	   24905.9	   39.0989
      0.06	   39.0989	   24905.9	   39.0989
      0.07	   39.0989	   24905.9	   39.0989
      0.08	   39.0989	   24905.9	   39.0989
      0.09	   39.0989	   24905.9	   39.0989
       0.1	   39.0989	   24905.9	   39.0989
      0.11	   39.0989	   24905.9	   39.0989
      0.12	   39.0989	   24905.9	   39.0989
      0.13	   39.0989	   24905.9	   39.0989
      0.14	   39.0989	   24905.9	   39.0989
      0.15	   39.0989	   24905.9	   39.0989
      0.16	   39.0989	   24905.9	   39.0989
      0.17	   39.0989	   24905.9	   39.0989
      0.18	   39.0989	   24905.9	   39.0989
      0.19	   39.0989	   24905.9	   39.0989
       0.2	   39.0989	   24905.9	   39.0989
      0.21	   39.0989	   24905.9	   39.0989
      0.22	   39.0989	   24905.9	   39.0989
      0.23	   39.0989	   24905.9	   39.0989
      0.24	   39.0989	   24905.9	   39.0989
      0.25	   39.0989	   24905.9	   39.0989
      0.26	   39.0989	   24905.9	   39.0989
      0.27	   39.0989	   24905.9	   39.0989
      0.28	   39.0989	   24905.9	   39.0989
      0.29	   39.0989	   24905.9	   39.0989
       0.3	   39.0989	   24905.9	   39.0989
      0.31	   39.0989	   24905.9	   39.0989
      0.32	   39.0989	   24905.9	   39.0989
      0.33	   39.0989	   24905.9	   39.0989
      0.34	   39.0989	   24905.9	   39.0989
      0.35	   39.0989	   24905.9	   39.0989
      0.36	   39.0989	   24905.9	   39.0989
      0.37	   39.0989	   24905.9	   39.0989
      0.38	   39.0989	   24905.9	   39.0989
      0.39	   39.0989	   24905.9	   39.0989
       0.4	   39.0989	   24905.9	   39.0989
      0.41	   39.0989	   24905.9	   39.0989
      0.42	   39.0989	   24905.9	   39.0989
      0.43	   39.0989	   24905.9	   39.0989
      0.44	   39.0989	   24905.9	   39.0989
      0.45	   39.0989	   24905.9	   39.0989
      0.46	   39.0989	   24905.9	   39.0989
      0.47	   39.0989	   24905.9	   39.0989
      0.48	   39.0989	   24905.9	   39.0989
      0.49	   39.0989	   24905.9	   39.0989
       0.5	   39.0989	   24905.9	   39.0989
      0.51	   39.0989	   24905.9	   39.0989
      0.52	   39.0989	   24905.9	   39.0989
      0.53	   39.0989	   24905.9	   39.0989
      0.54	   39.0989	   24905.9	   39.0989
      0.55	   39.0989	   24905.9	   39.0989
      0.56	   39.0989	   24905.9	   39.0989
      0.57	   39.0989	   24905.9	   39.0989
      0.58	   39.0989	   24905.9	   39.0989
      0.59	   39.0989	   24905.9	   39.0989
       0.6	   39.0989	   24905.9	   39.0989
      0.61	   39.0989	   24905.9	   39.0989
      0.62	   39.0989	   24905.9	   39.0989
      0.63	   39.0989	   24905.9	   39.0989
      0.64	   39.0989	   24905.9	   39.0989
      0.65	   39.0989	   24905.9	   39.0989
      0.66	   39.0989	   24905.9	   39.0989
      0.67	   39.0989	   24905.9	   39.0989
      0.68	   39.0989	   24905.9	   39.0989
      0.69	   39.0989	   24905.9	   39.0989
       0.7	   39.0989	   24905.9	   39.0989
      0.71	   39.0989	   24905.9	   39.0989
      0.72	   39.0989	   24905.9	   39.0989
      0.73	   39.0989	   24905.9	   39.0989
      0.74	   39.0989	   24905.9	   39.0989
      0.75	   39.0989	   24905.9	   39.0989
      0.76	   39.0989	   24905.9	   39.0989
      0.77	   39.0989	   24905.9	   39.0989
      0.78	   39.0989	   24905.9	   39.0989
      0.79	   39.0989	   24905.9	   39.0989
       0.8	   39.0989	   24905.9	   39.0989
      0.81	   39.0989	   24905.9	   39.0989
      0.82	   39.0989	   24905.9	   39.0989
      0.83	   39.0989	   24905.9	   39.0989
      0.84	   39.0989	   24905.9	   39.0989
      0.85	   39.0989	   24905.9	   39.0989
      0.86	   39.0989	   24905.9	   39.0989
      0.87	   39.0989	   24905.9	   39.0989
      0.88	   39.0989	   24905.9	   39.0989
      0.89	   39.0989	   24905.9	   39.0989
       0.9	   39.0989	   24905.9	   39.0989
      0.91	   39.0989	   24905.9	   39.0989
      0.92	   39.0989	   24905.9	   39.0989
      0.93	   39.0989	   24905.9	   39.0989
      0.94	   39.0989	   24905.9	   39.0989
      0.95	   39.0989	   24905.9	   39.0989
      0.96	   39.0989	   24905.9	   39.0989
      0.97	   39.0989	   24905.9	   39.0989
      0.98	   39.0989	   24905.9	   39.0989
      0.99	   39.0989	   24905.9	   39.0989
         1	   39.0989	   24905.9	   39.0989
      1.01	   39.0988	   24905.9	   39.0989
      1.02	   39.0987	   24905.9	   39.0989
      1.03	   39.0987	   24905.9	   39.0989
      1.04	   39.0987	   24905.9	   39.0989
      1.05	   39.0987	   24905.9	   39.0989
      1.06	   39.0986	   24905.9	   39.0989
      1.07	   39.0986	   24905.9	   39.0989
      1.08	   39.0986	   24905.9	   39.0989
      1.09	   39.0986	   24905.9	   39.0989
       1.1	   39.0986	   24905.9	   39.0989
      1.11	   39.0986	   24905.9	   39.0989
      1.12	   39.0986	     24906	   39.0989
      1.13	   39.0986	     24906	   39.0989
      1.14	   39.0986	     24906	   39.0989
      1.15	   39.0985	     24906	   39.0989
      1.16	   39.0985	     24906	   39.0989
      1.17	   39.0985	     24906	   39.0989
      1.18	   39.0985	     24906	   39.0989
      1.19	   39.0985	     24906	   39.0989
       1.2	   39.0985	     24906	   39.0989
      1.21	   39.0985	     24906	   39.0989
      1.22	   39.0985	     24906	   39.0989
      1.23	   39.0984	   24906.1	   39.0989
      1.24	   39.0984	   24906.2	   39.0989
      1.25	   39.0984	   24906.2	   39.0989
      1.26	   39.0983	   24906.3	   39.0989
      1.27	   39.0981	   24906.4	   39.0989
      1.28	    39.098	   24906.4	   39.0989
      1.29	   39.0978	   24906.5	   39.0989
       1.3	   39.0977	   24906.6	   39.0989
      1.31	   39.0975	   24906.8	   39.0989
      1.32	   39.0974	   24906.9	   39.0989
      1.33	   39.0972	     24907	   39.0989
      1.34	   39.0969	   24907.2	   39.0989
      1.35	   39.0967	   24907.3	   39.0989
      1.36	   39.0964	   24907.4	   39.0989
      1.37	   39.0962	   24907.6	   39.0989
      1.38	   39.0959	   24907.9	   39.0989
      1.39	   39.0957	   24908.1	   39.0989
       1.4	   39.0955	   24908.3	   39.0989
      1.41	   39.0952	   24908.5	   39.0989
      1.42	    39.095	   24908.7	   39.0989
      1.43	   39.0946	     24909	   39.0989
      1.44	   39.0943	   24909.2	   39.0989
      1.45	    39.094	   24909.5	   39.0989
      1.46	   39.0936	   24909.8	   39.0989
      1.47	   39.0933	   24910.1	   39.0989
      1.48	   39.0929	   24910.4	   39.0989
      1.49	   39.0926	   24910.7	   39.0989
       1.5	   39.0923	     24911	   39.0989
      1.51	   39.0919	   24911.4	   39.0989
      1.52	   39.0916	   24911.8	   39.0989
      1.53	   39.0913	   24912.1	   39.0989
      1.54	   39.0909	   24912.5	   39.0989
      1.55	   39.0906	   24912.8	   39.0989
      1.56	   39.0902	   24913.3	   39.0989
      1.57	   39.0899	   24913.7	   39.0989
      1.58	   39.0895	   24914.1	   39.0989
      1.59	   39.0892	   24914.5	   39.0989
       1.6	   39.0888	     24915	   39.0989
      1.61	   39.0885	   24915.4	   39.0989
      1.62	   39.0881	   24915.9	   39.0989
      1.63	   39.0878	   24916.4	   39.0989
      1.64	   39.0874	   24916.9	   39.0989
      1.65	    39.087	   24917.3	   39.0989
      1.66	   39.0867	   24917.8	   39.0989
      1.67	   39.0863	   24918.4	   39.0989
      1.68	    39.086	   24918.9	   39.0989
      1.69	   39.0856	   24919.5	   39.0989
       1.7	   39.0853	     24920	   39.0989
      1.71	   39.0849	   24920.6	   39.0989
      1.72	   39.0846	   24921.1	   39.0989
      1.73	   39.0842	   24921.7	   39.0989
      1.74	   39.0838	   24922.2	   39.0989
      1.75	   39.0835	   24922.8	   39.0989
      1.76	   39.0831	   24923.4	   39.0989
      1.77	   39.0828	     24924	   39.0989
      1.78	   39.0824	   24924.7	   39.0989
      1.79	   39.0821	   24925.3	   39.0989
       1.8	   39.0817	   24925.9	   39.0989
      1.81	   39.0814	   24926.5	   39.0989
      1.82	    39.081	   24927.1	   39.0989
      1.83	   39.0806	   24927.8	   39.0989
      1.84	   39.0803	   24928.4	   39.0989
      1.85	   39.0799	   24929.1	   39.0989
      1.86	   39.0796	   24929.8	   39.0989
      1.87	   39.0792	   24930.4	   39.0989
      1.88	   39.0789	   24931.1	   39.0989
      1.89	   39.0785	   24931.8	   39.0989
       1.9	   39.0783	   24932.5	   39.0989
      1.91	    39.078	   24933.1	   39.0989
      1.92	   39.0778	   24933.8	   39.0989
      1.93	   39.0775	   24934.5	   39.0989
      1.94	   39.0773	   24935.1	   39.0989
      1.95	    39.077	   24935.8	   39.0989
      1.96	   39.0768	   24936.5	   39.0989
      1.97	   39.0765	   24937.3	   39.0989
      1.98	   39.0763	     24938	   39.0989
      1.99	    39.076	   24938.7	   39.0989
         2	   39.0758	   24939.4	   39.0989
      2.01	   39.0757	   24940.1	   39.0989
      2.02	   39.0755	   24940.8	   39.0989
      2.03	   39.0753	   24941.5	   39.0989
      2.04	   39.0751	   24942.2	   39.0989
      2.05	    39.075	   24942.9	   39.0989
      2.06	   39.0748	   24943.6	   39.0989
      2.07	   39.0746	   24944.3	   39.0989
      2.08	   39.0744	   24945.1	   39.0989
      2.09	   39.0743	   24945.8	   39.0989
       2.1	   39.0742	   24946.5	   39.0989
      2.11	   39.0741	   24947.2	   39.0989
      2.12	    39.074	   24947.9	   39.0989
      2.13	   39.0739	   24948.6	   39.0989
      2.14	   39.0738	   24949.3	   39.0989
      2.15	   39.0737	     24950	   39.0989
      2.16	   39.0736	   24950.7	   39.0989
      2.17	   39.0735	   24951.4	   39.0989
      2.18	   39.0735	   24952.1	   39.0989
      2.19	   39.0734	   24952.8	   39.0989
       2.2	   39.0734	   24953.5	   39.0989
      2.21	   39.0734	   24954.2	   39.0989
      2.22	   39.0734	   24954.9	   39.0989
      2.23	   39.0734	   24955.6	   39.0989
      2.24	   39.0734	   24956.3	   39.0989
