Time	IDX
         0	7.40922e-17
      0.01	1.07624e-16
      0.02	1.4557e-16
      0.03	1.95097e-16
      0.04	2.58432e-16
      0.05	3.27447e-16
      0.06	4.22324e-16
      0.07	5.17202e-16
      0.08	6.41991e-16
      0.09	7.95366e-16
       0.1	9.48741e-16
      0.11	1.10212e-15
      0.12	1.3379e-15
      0.13	1.61484e-15
      0.14	1.89177e-15
      0.15	2.1687e-15
      0.16	2.44563e-15
      0.17	2.84567e-15
      0.18	3.30718e-15
      0.19	3.76868e-15
       0.2	4.23018e-15
      0.21	4.69168e-15
      0.22	5.29271e-15
      0.23	5.96339e-15
      0.24	6.63408e-15
      0.25	7.30477e-15
      0.26	7.97545e-15
      0.27	8.79109e-15
      0.28	9.67911e-15
      0.29	1.05671e-14
       0.3	1.14551e-14
      0.31	1.23432e-14
      0.32	1.33834e-14
      0.33	1.44996e-14
      0.34	1.56158e-14
      0.35	1.6732e-14
      0.36	1.78483e-14
      0.37	1.91302e-14
      0.38	2.0495e-14
      0.39	2.18597e-14
       0.4	2.32245e-14
      0.41	2.45892e-14
      0.42	2.61293e-14
      0.43	2.77568e-14
      0.44	2.93844e-14
      0.45	3.10119e-14
      0.46	3.26395e-14
      0.47	3.44621e-14
      0.48	3.6382e-14
      0.49	3.8302e-14
       0.5	4.0222e-14
      0.51	4.2142e-14
      0.52	4.42719e-14
      0.53	4.65067e-14
      0.54	4.87415e-14
      0.55	5.09762e-14
      0.56	5.3211e-14
      0.57	5.56645e-14
      0.58	5.82273e-14
      0.59	6.07901e-14
       0.6	6.33529e-14
      0.61	6.59157e-14
      0.62	6.86993e-14
      0.63	7.15933e-14
      0.64	7.44872e-14
      0.65	7.73812e-14
      0.66	8.02751e-14
      0.67	8.33858e-14
      0.68	8.66047e-14
      0.69	8.98236e-14
       0.7	9.30424e-14
      0.71	9.62613e-14
      0.72	9.96873e-14
      0.73	1.03217e-13
      0.74	1.06746e-13
      0.75	1.10276e-13
      0.76	1.13805e-13
      0.77	1.17527e-13
      0.78	1.21346e-13
      0.79	1.25164e-13
       0.8	1.28982e-13
      0.81	1.32801e-13
      0.82	1.36793e-13
      0.83	1.40872e-13
      0.84	1.44952e-13
      0.85	1.49031e-13
      0.86	1.5311e-13
      0.87	1.57341e-13
      0.88	1.61647e-13
      0.89	1.65954e-13
       0.9	1.7026e-13
      0.91	1.74567e-13
      0.92	1.78998e-13
      0.93	1.83493e-13
      0.94	1.87987e-13
      0.95	1.92482e-13
      0.96	1.96976e-13
      0.97	2.01567e-13
      0.98	2.06207e-13
      0.99	2.10846e-13
         1	2.15486e-13
      1.01	2.91504e-13
      1.02	4.29369e-13
      1.03	7.33858e-13
      1.04	1.81364e-12
      1.05	3.55451e-12
      1.06	1.09029e-11
      1.07	1.82514e-11
      1.08	3.9388e-11
      1.09	7.37019e-11
       1.1	1.08016e-10
      1.11	1.4233e-10
      1.12	2.22837e-10
      1.13	3.26409e-10
      1.14	4.2998e-10
      1.15	5.33551e-10
      1.16	6.37122e-10
      1.17	8.12276e-10
      1.18	1.02317e-09
      1.19	1.23406e-09
       1.2	1.44496e-09
      1.21	1.65585e-09
      1.22	1.94985e-09
      1.23	2.28535e-09
      1.24	2.62085e-09
      1.25	2.95635e-09
      1.26	3.29185e-09
      1.27	3.70405e-09
      1.28	4.15456e-09
      1.29	4.60507e-09
       1.3	5.05558e-09
      1.31	5.50609e-09
      1.32	6.00566e-09
      1.33	6.52973e-09
      1.34	7.0538e-09
      1.35	7.57786e-09
      1.36	8.10193e-09
      1.37	8.62795e-09
      1.38	9.15495e-09
      1.39	9.68195e-09
       1.4	1.02089e-08
      1.41	1.07359e-08
      1.42	1.12054e-08
      1.43	1.16462e-08
      1.44	1.2087e-08
      1.45	1.25277e-08
      1.46	1.29685e-08
      1.47	1.32921e-08
      1.48	1.35572e-08
      1.49	1.38223e-08
       1.5	1.40874e-08
      1.51	1.43525e-08
      1.52	1.44556e-08
      1.53	1.44777e-08
      1.54	1.44999e-08
      1.55	1.4522e-08
      1.56	1.45442e-08
      1.57	1.43878e-08
      1.58	1.41424e-08
      1.59	1.38969e-08
       1.6	1.36515e-08
      1.61	1.3406e-08
      1.62	1.30022e-08
      1.63	1.25192e-08
      1.64	1.20362e-08
      1.65	1.15532e-08
      1.66	1.10703e-08
      1.67	1.04851e-08
      1.68	9.8489e-09
      1.69	9.21271e-09
       1.7	8.57652e-09
      1.71	7.94033e-09
      1.72	7.2855e-09
      1.73	6.62137e-09
      1.74	5.95723e-09
      1.75	5.2931e-09
      1.76	4.62896e-09
      1.77	4.0415e-09
      1.78	3.49232e-09
      1.79	2.94314e-09
       1.8	2.39396e-09
      1.81	1.84478e-09
