Time	IDX
         0	7.40922e-17
      0.01	1.07624e-16
      0.02	1.4557e-16
      0.03	1.95097e-16
      0.04	2.58432e-16
      0.05	3.27447e-16
      0.06	4.22324e-16
      0.07	5.17202e-16
      0.08	6.41991e-16
      0.09	7.95366e-16
       0.1	9.48742e-16
      0.11	1.10212e-15
      0.12	1.3379e-15
      0.13	1.61484e-15
      0.14	1.89177e-15
      0.15	2.1687e-15
      0.16	2.44563e-15
      0.17	2.84567e-15
      0.18	3.30718e-15
      0.19	3.76868e-15
       0.2	4.23018e-15
      0.21	4.69168e-15
      0.22	5.29271e-15
      0.23	5.96339e-15
      0.24	6.63408e-15
      0.25	7.30477e-15
      0.26	7.97545e-15
      0.27	8.79109e-15
      0.28	9.67911e-15
      0.29	1.05671e-14
       0.3	1.14551e-14
      0.31	1.23432e-14
      0.32	1.33834e-14
      0.33	1.44996e-14
      0.34	1.56158e-14
      0.35	1.6732e-14
      0.36	1.78483e-14
      0.37	1.91302e-14
      0.38	2.0495e-14
      0.39	2.18597e-14
       0.4	2.32245e-14
      0.41	2.45892e-14
      0.42	2.61293e-14
      0.43	2.77568e-14
      0.44	2.93844e-14
      0.45	3.10119e-14
      0.46	3.26395e-14
      0.47	3.44621e-14
      0.48	3.6382e-14
      0.49	3.8302e-14
       0.5	4.0222e-14
      0.51	4.2142e-14
      0.52	4.42719e-14
      0.53	4.65067e-14
      0.54	4.87415e-14
      0.55	5.09762e-14
      0.56	5.3211e-14
      0.57	5.56645e-14
      0.58	5.82273e-14
      0.59	6.07901e-14
       0.6	6.33529e-14
      0.61	6.59157e-14
      0.62	6.86993e-14
      0.63	7.15933e-14
      0.64	7.44872e-14
      0.65	7.73812e-14
      0.66	8.02751e-14
      0.67	8.33858e-14
      0.68	8.66047e-14
      0.69	8.98236e-14
       0.7	9.30424e-14
      0.71	9.62613e-14
      0.72	9.96873e-14
      0.73	1.03217e-13
      0.74	1.06746e-13
      0.75	1.10276e-13
      0.76	1.13805e-13
      0.77	1.17527e-13
      0.78	1.21346e-13
      0.79	1.25164e-13
       0.8	1.28982e-13
      0.81	1.32801e-13
      0.82	1.36793e-13
      0.83	1.40872e-13
      0.84	1.44952e-13
      0.85	1.49031e-13
      0.86	1.5311e-13
      0.87	1.57341e-13
      0.88	1.61647e-13
      0.89	1.65954e-13
       0.9	1.7026e-13
      0.91	1.74567e-13
      0.92	1.78998e-13
      0.93	1.83493e-13
      0.94	1.87987e-13
      0.95	1.92482e-13
      0.96	1.96976e-13
      0.97	2.01567e-13
      0.98	2.06207e-13
      0.99	2.10846e-13
         1	2.15486e-13
      1.01	3.40268e-10
      1.02	1.54635e-09
      1.03	3.78695e-09
      1.04	6.58218e-09
      1.05	8.55296e-09
      1.06	9.53001e-09
      1.07	7.01948e-09
      1.08	4.61458e-09
      1.09	2.87324e-09
       1.1	1.1319e-09
      1.11	1.16341e-08
      1.12	2.64418e-08
      1.13	4.12494e-08
      1.14	8.76152e-08
      1.15	1.58363e-07
      1.16	2.2911e-07
      1.17	2.99857e-07
      1.18	3.89737e-07
      1.19	5.92237e-07
       1.2	7.94738e-07
      1.21	9.97238e-07
      1.22	1.19974e-06
      1.23	1.43324e-06
      1.24	1.84922e-06
      1.25	2.26521e-06
      1.26	2.68119e-06
      1.27	3.09718e-06
      1.28	3.55026e-06
      1.29	4.22173e-06
       1.3	4.89319e-06
      1.31	5.56466e-06
      1.32	6.23612e-06
      1.33	6.94226e-06
      1.34	7.85251e-06
      1.35	8.76276e-06
      1.36	9.67301e-06
      1.37	1.05833e-05
      1.38	1.15191e-05
      1.39	1.26056e-05
       1.4	1.36921e-05
      1.41	1.47786e-05
      1.42	1.5865e-05
      1.43	1.69656e-05
      1.44	1.81488e-05
      1.45	1.93321e-05
      1.46	2.05154e-05
      1.47	2.16986e-05
      1.48	2.2885e-05
      1.49	 2.409e-05
       1.5	2.52949e-05
      1.51	2.64999e-05
      1.52	2.77048e-05
      1.53	2.89038e-05
      1.54	3.00672e-05
      1.55	3.12306e-05
      1.56	3.23941e-05
      1.57	3.35575e-05
      1.58	3.47074e-05
      1.59	3.57775e-05
       1.6	3.68476e-05
      1.61	3.79177e-05
      1.62	3.89878e-05
      1.63	4.00382e-05
      1.64	4.09728e-05
      1.65	4.19075e-05
      1.66	4.28421e-05
      1.67	4.37767e-05
      1.68	4.46869e-05
      1.69	4.54529e-05
       1.7	4.6219e-05
      1.71	4.6985e-05
      1.72	4.7751e-05
      1.73	4.84891e-05
      1.74	4.90625e-05
      1.75	4.96359e-05
      1.76	5.02093e-05
      1.77	5.07828e-05
      1.78	5.13261e-05
      1.79	5.16924e-05
       1.8	5.20587e-05
      1.81	5.2425e-05
