Time	IDX
         0	7.40922e-17
      0.01	1.07624e-16
      0.02	1.4557e-16
      0.03	1.95097e-16
      0.04	2.58432e-16
      0.05	3.27447e-16
      0.06	4.22324e-16
      0.07	5.17202e-16
      0.08	6.41991e-16
      0.09	7.95366e-16
       0.1	9.48742e-16
      0.11	1.10212e-15
      0.12	1.3379e-15
      0.13	1.61484e-15
      0.14	1.89177e-15
      0.15	2.1687e-15
      0.16	2.44563e-15
      0.17	2.84567e-15
      0.18	3.30718e-15
      0.19	3.76868e-15
       0.2	4.23018e-15
      0.21	4.69168e-15
      0.22	5.29271e-15
      0.23	5.96339e-15
      0.24	6.63408e-15
      0.25	7.30477e-15
      0.26	7.97545e-15
      0.27	8.79109e-15
      0.28	9.67911e-15
      0.29	1.05671e-14
       0.3	1.14551e-14
      0.31	1.23432e-14
      0.32	1.33834e-14
      0.33	1.44996e-14
      0.34	1.56158e-14
      0.35	1.6732e-14
      0.36	1.78483e-14
      0.37	1.91302e-14
      0.38	2.0495e-14
      0.39	2.18597e-14
       0.4	2.32245e-14
      0.41	2.45892e-14
      0.42	2.61293e-14
      0.43	2.77568e-14
      0.44	2.93844e-14
      0.45	3.10119e-14
      0.46	3.26395e-14
      0.47	3.44621e-14
      0.48	3.6382e-14
      0.49	3.8302e-14
       0.5	4.0222e-14
      0.51	4.2142e-14
      0.52	4.42719e-14
      0.53	4.65067e-14
      0.54	4.87415e-14
      0.55	5.09762e-14
      0.56	5.3211e-14
      0.57	5.56645e-14
      0.58	5.82273e-14
      0.59	6.07901e-14
       0.6	6.33529e-14
      0.61	6.59157e-14
      0.62	6.86993e-14
      0.63	7.15933e-14
      0.64	7.44872e-14
      0.65	7.73812e-14
      0.66	8.02751e-14
      0.67	8.33858e-14
      0.68	8.66047e-14
      0.69	8.98236e-14
       0.7	9.30424e-14
      0.71	9.62613e-14
      0.72	9.96873e-14
      0.73	1.03217e-13
      0.74	1.06746e-13
      0.75	1.10276e-13
      0.76	1.13805e-13
      0.77	1.17527e-13
      0.78	1.21346e-13
      0.79	1.25164e-13
       0.8	1.28982e-13
      0.81	1.32801e-13
      0.82	1.36793e-13
      0.83	1.40872e-13
      0.84	1.44952e-13
      0.85	1.49031e-13
      0.86	1.5311e-13
      0.87	1.57341e-13
      0.88	1.61647e-13
      0.89	1.65954e-13
       0.9	1.7026e-13
      0.91	1.74567e-13
      0.92	1.78998e-13
      0.93	1.83493e-13
      0.94	1.87987e-13
      0.95	1.92482e-13
      0.96	1.96976e-13
      0.97	2.01567e-13
      0.98	2.06207e-13
      0.99	2.10846e-13
         1	2.15486e-13
      1.01	2.02942e-10
      1.02	8.66071e-10
      1.03	2.07357e-09
      1.04	3.40471e-09
      1.05	4.10637e-09
      1.06	3.66079e-09
      1.07	2.24372e-09
      1.08	5.36626e-10
      1.09	4.56586e-09
       1.1	1.04437e-08
      1.11	2.1424e-08
      1.12	5.91831e-08
      1.13	9.69422e-08
      1.14	1.34701e-07
      1.15	2.25719e-07
      1.16	3.55805e-07
      1.17	4.85892e-07
      1.18	6.15978e-07
      1.19	7.46064e-07
       1.2	9.78882e-07
      1.21	1.28706e-06
      1.22	1.59524e-06
      1.23	1.90342e-06
      1.24	2.21159e-06
      1.25	2.66209e-06
      1.26	3.21699e-06
      1.27	3.77188e-06
      1.28	4.32678e-06
      1.29	4.88167e-06
       1.3	5.59203e-06
      1.31	6.41644e-06
      1.32	7.24084e-06
      1.33	8.06524e-06
      1.34	8.88965e-06
      1.35	9.85021e-06
      1.36	1.09107e-05
      1.37	1.19711e-05
      1.38	1.30316e-05
      1.39	1.4092e-05
       1.4	1.52482e-05
      1.41	1.64747e-05
      1.42	1.77011e-05
      1.43	1.89276e-05
      1.44	2.0154e-05
      1.45	2.14301e-05
      1.46	2.27426e-05
      1.47	2.40552e-05
      1.48	2.53677e-05
      1.49	2.66802e-05
       1.5	2.79996e-05
      1.51	2.93239e-05
      1.52	3.06483e-05
      1.53	3.19727e-05
      1.54	3.32971e-05
      1.55	3.45915e-05
      1.56	3.58638e-05
      1.57	3.71362e-05
      1.58	3.84085e-05
      1.59	3.96809e-05
       1.6	4.08919e-05
      1.61	4.20579e-05
      1.62	4.3224e-05
      1.63	 4.439e-05
      1.64	4.5556e-05
      1.65	4.66346e-05
      1.66	4.76489e-05
      1.67	4.86633e-05
      1.68	4.96777e-05
      1.69	5.06921e-05
       1.7	5.15982e-05
      1.71	5.24249e-05
      1.72	5.32516e-05
      1.73	5.40784e-05
      1.74	5.49051e-05
      1.75	5.56086e-05
      1.76	5.62217e-05
      1.77	5.68349e-05
      1.78	5.7448e-05
      1.79	5.80612e-05
       1.8	5.85423e-05
      1.81	5.89267e-05
